起点桩号(km),IRI_左(m/km),IRI_右(m/km),IRI(m/km),速度(m/s)
1.2030,1.90,,1.90,10.95
1.2130,1.29,,1.29,10.89
1.2230,3.78,,3.78,10.82
1.2330,7.37,,7.37,10.86
1.2430,6.91,,6.91,11.14
1.2530,5.67,,5.67,11.13
1.2630,5.40,,5.40,9.18
1.2730,11.31,,11.31,6.55
1.2830,3.60,,3.60,5.23
1.2930,3.51,,3.51,6.68
1.3030,3.80,,3.80,8.62
1.3130,1.59,,1.59,10.07
1.3230,4.32,,4.32,11.20
1.3330,9.58,,9.58,12.03
1.3430,8.17,,8.17,12.91
1.3530,5.62,,5.62,13.68
1.3630,1.64,,1.64,14.14
1.3730,1.46,,1.46,14.31
1.3830,3.05,,3.05,14.29
1.3930,3.23,,3.23,14.32
1.4030,1.47,,1.47,14.33
1.4130,2.58,,2.58,14.38
1.4230,4.99,,4.99,14.50
1.4330,12.39,,12.39,14.70
1.4430,7.41,,7.41,14.64
1.4530,4.08,,4.08,14.16
1.4630,2.16,,2.16,12.81
1.4730,1.97,,1.97,11.33
1.4830,3.00,,3.00,11.04
1.4930,3.21,,3.21,11.50
1.5030,2.76,,2.76,12.06
1.5130,1.53,,1.53,12.69
1.5230,3.69,,3.69,13.30
1.5330,5.04,,5.04,13.57
1.5430,2.16,,2.16,13.65
1.5530,3.25,,3.25,13.58
1.5630,3.79,,3.79,13.46
1.5730,3.62,,3.62,13.35
1.5830,2.17,,2.17,13.28
1.5930,2.79,,2.79,13.16
1.6030,1.55,,1.55,13.03
1.6130,1.66,,1.66,12.81
1.6230,1.54,,1.54,12.56
1.6330,1.66,,1.66,12.35
1.6430,2.50,,2.50,12.39
1.6530,3.06,,3.06,12.70
1.6630,2.85,,2.85,12.75
1.6730,1.91,,1.91,12.80
1.6830,1.33,,1.33,13.09
1.6930,3.39,,3.39,13.29
1.7030,2.87,,2.87,13.39
1.7130,1.88,,1.88,13.47
1.7230,1.79,,1.79,13.49
1.7330,1.44,,1.44,13.52
1.7430,1.45,,1.45,13.59
1.7530,2.46,,2.46,13.44
1.7630,1.58,,1.58,13.07
1.7730,1.11,,1.11,12.73
1.7830,1.15,,1.15,12.59
1.7930,1.34,,1.34,12.73
1.8030,3.04,,3.04,12.95
1.8130,1.72,,1.72,13.13
1.8230,2.78,,2.78,13.19
1.8330,3.22,,3.22,13.22
1.8430,1.74,,1.74,13.06
1.8530,1.79,,1.79,12.96
1.8630,2.40,,2.40,13.07
1.8730,2.61,,2.61,13.24
1.8830,2.15,,2.15,13.26
1.8930,1.67,,1.67,13.22
1.9030,1.41,,1.41,13.19
1.9130,2.48,,2.48,13.26
1.9230,2.07,,2.07,13.40
1.9330,2.58,,2.58,13.42
1.9430,3.57,,3.57,13.39
1.9530,3.13,,3.13,13.23
1.9630,5.18,,5.18,12.78
1.9730,5.03,,5.03,11.50
1.9830,18.07,,18.07,10.79
1.9930,19.45,,19.45,10.90
2.0030,7.87,,7.87,11.72
2.0130,5.65,,5.65,12.29
2.0230,3.31,,3.31,12.54
2.0330,1.00,,1.00,12.61
2.0430,1.34,,1.34,12.61
2.0530,1.18,,1.18,12.46
2.0630,1.61,,1.61,11.97
2.0730,3.28,,3.28,10.50
2.0830,3.02,,3.02,8.93
2.0930,2.68,,2.68,8.07
2.1030,1.80,,1.80,7.51
2.1130,1.72,,1.72,8.68
2.1230,5.47,,5.47,9.52
2.1330,5.09,,5.09,9.64
2.1430,3.64,,3.64,10.03
2.1530,3.74,,3.74,10.48
2.1630,1.72,,1.72,10.78
2.1730,2.16,,2.16,11.02
2.1830,3.11,,3.11,11.03
2.1930,3.88,,3.88,10.82
2.2030,3.26,,3.26,10.61
2.2130,1.57,,1.57,10.80
2.2230,2.76,,2.76,10.74
2.2330,8.88,,8.88,10.33
2.2430,3.41,,3.41,8.50
2.2530,3.69,,3.69,7.88
2.2630,2.51,,2.51,8.80
2.2730,2.53,,2.53,9.79
2.2830,3.14,,3.14,10.77
2.2930,2.47,,2.47,11.67
2.3030,2.65,,2.65,12.37
2.3130,2.63,,2.63,12.63
2.3230,1.98,,1.98,12.62
2.3330,3.20,,3.20,12.41
2.3430,3.90,,3.90,12.18
2.3530,5.06,,5.06,11.30
2.3630,6.06,,6.06,10.55
2.3730,2.34,,2.34,10.81
2.3830,1.28,,1.28,11.55
2.3930,2.48,,2.48,11.97
2.4030,1.97,,1.97,12.09
2.4130,1.02,,1.02,12.09
2.4230,3.19,,3.19,12.22
2.4330,3.33,,3.33,12.34
2.4430,1.70,,1.70,12.49
2.4530,1.10,,1.10,12.85
2.4630,2.22,,2.22,13.23
2.4730,3.16,,3.16,13.59
2.4830,2.43,,2.43,13.86
2.4930,1.84,,1.84,14.11
2.5030,2.45,,2.45,14.27
2.5130,1.99,,1.99,14.27
2.5230,2.00,,2.00,14.19
2.5330,1.77,,1.77,14.17
2.5430,2.86,,2.86,14.14
2.5530,3.01,,3.01,14.24
2.5630,3.49,,3.49,14.42
2.5730,6.07,,6.07,14.53
2.5830,7.24,,7.24,14.51
2.5930,3.42,,3.42,14.38
2.6030,3.39,,3.39,14.17
2.6130,3.70,,3.70,13.99
2.6230,2.73,,2.73,14.00
2.6330,2.47,,2.47,14.08
2.6430,1.62,,1.62,14.18
2.6530,1.22,,1.22,14.26
2.6630,1.79,,1.79,14.20
2.6730,2.05,,2.05,13.95
2.6830,2.33,,2.33,12.89
2.6930,3.31,,3.31,10.36
2.7030,36.47,,36.47,8.23
2.7130,36.97,,36.97,8.14
2.7230,28.89,,28.89,9.28
2.7330,10.00,,10.00,10.54
2.7430,2.26,,2.26,11.54
2.7530,2.21,,2.21,11.92
2.7630,1.75,,1.75,11.99
2.7730,10.86,,10.86,12.13
2.7830,2.28,,2.28,12.54
2.7930,3.09,,3.09,12.94
2.8030,3.29,,3.29,13.30
2.8130,2.43,,2.43,13.53
2.8230,2.60,,2.60,13.64
2.8330,2.77,,2.77,13.58
2.8430,3.21,,3.21,13.41
2.8530,3.84,,3.84,12.58
2.8630,7.57,,7.57,11.20
2.8730,9.97,,9.97,10.64
2.8830,7.87,,7.87,10.93
2.8930,3.77,,3.77,11.70
2.9030,6.95,,6.95,12.53
2.9130,8.44,,8.44,13.39
2.9230,4.54,,4.54,14.15
2.9330,7.37,,7.37,14.91
2.9430,3.10,,3.10,15.60
2.9530,1.62,,1.62,16.27
2.9630,1.95,,1.95,16.85
2.9730,1.40,,1.40,17.39
2.9830,1.27,,1.27,17.83
2.9930,3.48,,3.48,18.12
3.0030,2.11,,2.11,18.31
3.0130,1.84,,1.84,18.38
3.0230,2.36,,2.36,18.40
3.0330,3.97,,3.97,18.44
3.0430,2.21,,2.21,18.37
3.0530,2.40,,2.40,18.29
3.0630,4.75,,4.75,18.29
3.0730,3.04,,3.04,18.40
3.0830,2.55,,2.55,18.53
3.0930,3.00,,3.00,18.62
3.1030,2.34,,2.34,18.82
3.1130,3.05,,3.05,18.99
3.1230,3.32,,3.32,18.93
3.1330,2.91,,2.91,18.76
3.1430,3.10,,3.10,18.63
3.1530,2.82,,2.82,18.54
3.1630,3.48,,3.48,18.68
3.1730,2.05,,2.05,18.98
3.1830,2.59,,2.59,19.36
3.1930,2.30,,2.30,19.72
3.2030,1.61,,1.61,20.11
3.2130,0.96,,0.96,20.48
3.2230,3.07,,3.07,20.72
3.2330,1.80,,1.80,20.83
3.2430,1.69,,1.69,20.78
3.2530,3.00,,3.00,20.63
3.2630,2.56,,2.56,20.49
3.2730,5.17,,5.17,20.32
3.2830,3.22,,3.22,20.17
3.2930,1.08,,1.08,20.15
3.3030,1.75,,1.75,20.27
3.3130,2.90,,2.90,20.32
3.3230,2.40,,2.40,20.51
3.3330,2.48,,2.48,20.66
3.3430,4.08,,4.08,20.84
3.3530,2.38,,2.38,21.01
3.3630,2.07,,2.07,21.19
3.3730,5.38,,5.38,21.35
3.3830,4.30,,4.30,21.55
3.3930,2.08,,2.08,21.58
3.4030,1.43,,1.43,21.45
3.4130,1.34,,1.34,21.38
3.4230,3.00,,3.00,21.27
3.4330,7.81,,7.81,21.05
3.4430,4.80,,4.80,21.09
3.4530,4.65,,4.65,20.86
3.4630,3.91,,3.91,20.73
3.4730,4.16,,4.16,20.41
3.4830,2.70,,2.70,19.71
3.4930,4.60,,4.60,18.65
3.5030,2.58,,2.58,17.25
3.5130,2.37,,2.37,15.56
3.5230,3.54,,3.54,13.78
3.5330,4.88,,4.88,13.10
3.5430,6.94,,6.94,12.94
3.5530,5.33,,5.33,13.24
3.5630,3.39,,3.39,13.76
3.5730,3.65,,3.65,14.32
3.5830,3.97,,3.97,14.91
3.5930,2.37,,2.37,15.42
3.6030,1.67,,1.67,15.87
3.6130,4.63,,4.63,16.08
3.6230,3.10,,3.10,16.22
3.6330,3.71,,3.71,16.22
3.6430,3.62,,3.62,16.08
3.6530,2.36,,2.36,15.73
3.6630,3.49,,3.49,14.61
3.6730,2.27,,2.27,12.75
3.6830,3.69,,3.69,11.76
3.6930,4.46,,4.46,11.66
3.7030,5.18,,5.18,12.31
3.7130,6.07,,6.07,12.98
3.7230,4.10,,4.10,13.60
3.7330,4.34,,4.34,13.82
3.7430,2.40,,2.40,13.48
3.7530,1.74,,1.74,12.06
3.7630,2.72,,2.72,9.60
3.7730,4.05,,4.05,8.03
3.7830,2.82,,2.82,8.79
3.7930,4.87,,4.87,9.66
3.8030,9.78,,9.78,10.15
3.8130,6.50,,6.50,10.30
3.8230,6.17,,6.17,10.08
3.8330,7.73,,7.73,10.25
3.8430,9.13,,9.13,10.43
3.8530,7.75,,7.75,10.55
3.8630,6.92,,6.92,10.89
3.8730,5.88,,5.88,11.09
3.8830,8.46,,8.46,11.25
3.8930,8.42,,8.42,11.39
3.9030,7.56,,7.56,11.63
3.9130,5.34,,5.34,12.02
3.9230,3.96,,3.96,12.47
3.9330,5.29,,5.29,12.86
3.9430,7.11,,7.11,13.28
3.9530,8.77,,8.77,13.63
3.9630,7.35,,7.35,13.94
3.9730,5.88,,5.88,14.16
3.9830,6.70,,6.70,14.25
3.9930,7.33,,7.33,14.27
4.0030,5.28,,5.28,14.31
4.0130,6.02,,6.02,14.19
4.0230,4.98,,4.98,14.01
4.0330,4.55,,4.55,13.67
4.0430,6.15,,6.15,13.48
4.0530,7.32,,7.32,13.58
4.0630,6.61,,6.61,13.99
4.0730,6.14,,6.14,14.25
4.0830,5.78,,5.78,14.32
4.0930,7.25,,7.25,14.36
4.1030,7.53,,7.53,14.32
4.1130,4.76,,4.76,14.25
4.1230,6.87,,6.87,14.19
4.1330,10.02,,10.02,14.16
4.1430,6.14,,6.14,14.17
4.1530,6.60,,6.60,13.97
4.1630,4.30,,4.30,13.25
4.1730,6.60,,6.60,11.66
4.1830,10.89,,10.89,10.48
4.1930,7.28,,7.28,10.66
4.2030,6.76,,6.76,11.56
4.2130,7.28,,7.28,12.01
4.2230,5.27,,5.27,12.14
4.2330,4.41,,4.41,12.18
4.2430,4.94,,4.94,12.54
4.2530,3.50,,3.50,12.76
4.2630,6.03,,6.03,12.81
4.2730,5.44,,5.44,12.86
4.2830,5.92,,5.92,13.03
4.2930,5.58,,5.58,13.17
4.3030,4.70,,4.70,13.29
4.3130,6.29,,6.29,13.36
4.3230,10.39,,10.39,13.17
4.3330,9.74,,9.74,12.58
4.3430,6.82,,6.82,12.06
4.3530,8.14,,8.14,11.88
4.3630,6.26,,6.26,11.78
4.3730,9.84,,9.84,11.36
4.3830,13.39,,13.39,10.37
4.3930,10.69,,10.69,10.02
4.4030,8.92,,8.92,10.63
4.4130,7.80,,7.80,11.45
4.4230,8.00,,8.00,12.14
4.4330,8.73,,8.73,12.41
4.4430,12.79,,12.79,12.58
4.4530,5.75,,5.75,12.72
4.4630,10.83,,10.83,12.69
4.4730,15.07,,15.07,12.55
4.4830,8.88,,8.88,12.47
4.4930,11.13,,11.13,12.31
4.5030,7.84,,7.84,12.02
4.5130,11.65,,11.65,10.19
4.5230,11.95,,11.95,8.02
4.5330,10.49,,10.49,8.38
4.5430,8.97,,8.97,9.54
