起点桩号(km),IRI_左(m/km),IRI_右(m/km),IRI(m/km),速度(m/s)
0.5230,6.46,,6.46,2.29
0.5330,3.34,,3.34,6.55
0.5430,3.15,,3.15,8.28
0.5530,2.13,,2.13,9.72
0.5630,1.85,,1.85,10.89
0.5730,1.79,,1.79,11.64
0.5830,2.88,,2.88,12.15
0.5930,2.35,,2.35,12.17
0.6030,1.80,,1.80,12.10
0.6130,1.77,,1.77,11.81
0.6230,1.98,,1.98,11.23
0.6330,4.15,,4.15,9.81
0.6430,1.60,,1.60,7.67
0.6530,2.31,,2.31,6.55
0.6630,3.00,,3.00,6.91
0.6730,3.46,,3.46,7.97
0.6830,3.33,,3.33,8.76
0.6930,3.02,,3.02,8.61
0.7030,1.86,,1.86,7.66
0.7130,1.35,,1.35,7.13
0.7230,2.54,,2.54,8.05
0.7330,2.36,,2.36,8.96
0.7430,1.85,,1.85,9.63
0.7530,3.48,,3.48,10.11
0.7630,5.36,,5.36,10.39
0.7730,3.14,,3.14,10.40
0.7830,1.86,,1.86,10.51
0.7930,1.70,,1.70,11.02
0.8030,2.35,,2.35,11.66
0.8130,3.12,,3.12,12.17
0.8230,1.88,,1.88,12.51
0.8330,2.10,,2.10,12.84
0.8430,2.87,,2.87,13.16
0.8530,2.83,,2.83,13.47
0.8630,3.41,,3.41,13.52
0.8730,1.51,,1.51,13.42
0.8830,3.15,,3.15,13.32
0.8930,1.78,,1.78,13.07
0.9030,1.17,,1.17,12.55
0.9130,2.42,,2.42,11.35
0.9230,6.34,,6.34,10.77
0.9330,1.65,,1.65,9.96
0.9430,1.87,,1.87,6.73
0.9530,6.63,,6.63,0.30
0.9630,2.50,,2.50,5.09
0.9730,2.29,,2.29,7.16
0.9830,2.02,,2.02,8.71
0.9930,2.25,,2.25,9.98
1.0030,1.43,,1.43,10.69
1.0130,0.97,,0.97,10.87
1.0230,1.29,,1.29,10.80
1.0330,0.81,,0.81,10.65
1.0430,1.94,,1.94,10.01
1.0530,2.98,,2.98,9.24
1.0630,5.21,,5.21,9.15
1.0730,4.72,,4.72,7.72
1.0830,3.30,,3.30,6.42
1.0930,4.11,,4.11,7.45
1.1030,4.15,,4.15,8.78
1.1130,3.80,,3.80,9.78
1.1230,3.10,,3.10,10.44
1.1330,3.79,,3.79,10.56
1.1430,2.87,,2.87,10.35
1.1530,1.87,,1.87,10.24
1.1630,3.50,,3.50,10.66
1.1730,2.12,,2.12,10.75
1.1830,1.69,,1.69,10.64
1.1930,2.28,,2.28,10.82
