×®ºÅ(km),MPD_L(mm),MPD_C(mm),MPD_R(mm)
1.970,0.51,0.58,0.75
1.980,0.56,0.73,0.83
1.990,0.53,0.64,0.63
2.000,0.58,0.61,0.84
2.010,0.55,0.61,0.79
2.020,0.55,0.64,0.79
2.030,0.53,0.60,0.83
2.040,0.51,0.59,0.79
2.050,0.53,0.61,0.77
2.060,0.59,0.65,0.83
2.070,0.50,0.58,0.69
2.080,0.51,0.62,0.72
2.090,0.48,0.55,0.58
2.100,0.44,0.57,0.53
2.110,0.53,0.58,0.58
2.120,0.44,0.76,0.69
2.130,0.57,0.84,0.72
2.140,0.68,0.76,0.79
2.150,0.54,0.60,0.53
2.160,0.52,0.55,0.58
2.170,0.60,0.66,0.68
2.180,0.59,0.62,0.73
2.190,0.66,0.72,0.82
2.200,0.60,0.73,0.78
2.210,0.48,0.54,0.77
2.220,0.58,0.74,1.08
2.230,0.94,0.67,1.17
2.240,1.12,0.56,1.31
2.250,1.11,0.64,1.33
2.260,1.20,0.62,1.06
2.270,1.25,0.72,1.00
2.280,1.27,0.73,1.07
2.290,1.21,0.84,1.25
2.300,1.29,0.85,1.24
2.310,1.24,0.93,1.21
2.320,1.54,1.04,1.21
2.330,1.49,1.08,1.32
2.340,1.54,1.21,1.26
2.350,1.49,1.18,1.30
2.360,1.56,1.16,1.29
2.370,1.48,1.02,1.31
2.380,1.15,1.16,1.29
2.390,1.31,1.19,1.46
2.400,1.26,1.16,1.28
2.410,1.25,1.21,1.31
2.420,1.33,1.14,1.24
2.430,1.42,1.30,1.26
2.440,1.23,1.20,1.25
2.450,1.27,1.29,1.36
2.460,1.13,1.15,1.34
2.470,1.26,1.20,1.06
2.480,1.31,1.15,1.24
2.490,1.26,1.11,1.20
2.500,1.35,0.99,1.30
2.510,1.00,1.12,1.02
2.520,1.20,0.99,1.03
2.530,1.06,0.90,1.12
2.540,1.21,0.94,1.11
2.550,1.16,0.96,1.09
2.560,1.05,0.91,1.20
2.570,1.18,0.89,1.00
2.580,1.11,1.02,1.17
2.590,1.16,1.02,1.25
2.600,1.10,1.01,1.16
2.610,1.18,0.95,1.20
2.620,0.96,0.85,0.97
2.630,1.11,0.84,1.13
2.640,1.15,0.78,1.15
2.650,1.17,0.80,0.97
2.660,1.06,0.73,0.97
2.670,0.98,0.82,0.79
2.680,1.00,0.79,0.71
2.690,1.01,0.89,0.82
2.700,1.03,0.84,0.73
2.710,0.91,1.06,0.80
2.720,0.93,0.90,0.77
2.730,1.01,0.93,0.93
2.740,0.97,0.91,0.97
2.750,0.95,0.99,0.91
2.760,0.80,1.01,0.90
2.770,0.90,0.86,0.69
2.780,0.91,0.92,0.80
2.790,0.82,0.75,0.81
