桩号(km),左高程(mm),右高程(mm),速度(m/s)
0.86070,14.91,,13.31
0.86080,14.82,,13.41
0.86090,14.71,,13.39
0.86100,14.33,,13.41
0.86110,14.27,,13.54
0.86120,13.93,,13.56
0.86130,13.44,,13.72
0.86140,12.58,,13.54
0.86150,12.48,,13.56
0.86160,12.88,,13.54
0.86170,13.23,,13.49
0.86180,13.32,,13.46
0.86190,13.24,,13.56
0.86200,13.27,,13.54
0.86210,13.21,,13.41
0.86220,13.60,,13.64
0.86230,13.31,,13.61
0.86240,13.03,,13.49
0.86250,13.07,,13.46
0.86260,13.32,,13.56
0.86270,13.12,,13.54
0.86280,13.44,,13.41
0.86290,13.33,,13.46
0.86300,13.35,,13.64
0.86310,13.14,,13.54
0.86320,13.09,,13.56
0.86330,13.17,,13.41
0.86340,13.02,,13.54
0.86350,13.40,,13.56
0.86360,13.42,,13.69
0.86370,13.15,,13.72
0.86380,13.38,,13.69
0.86390,13.03,,13.56
0.86400,12.76,,13.39
0.86410,14.18,,13.41
0.86420,14.65,,13.49
0.86430,15.12,,13.46
0.86440,15.01,,13.56
0.86450,15.74,,13.54
0.86460,16.44,,13.72
0.86470,17.31,,13.61
0.86480,17.35,,13.64
0.86490,16.66,,13.54
0.86500,17.05,,13.41
0.86510,18.32,,13.39
0.86520,19.45,,13.56
0.86530,20.41,,13.49
0.86540,20.77,,13.46
0.86550,21.50,,13.64
0.86560,22.18,,13.61
0.86570,22.90,,13.56
0.86580,23.80,,13.61
0.86590,24.49,,13.64
0.86600,24.78,,13.46
0.86610,24.95,,13.49
0.86620,26.14,,13.56
0.86630,27.00,,13.54
0.86640,27.73,,13.56
0.86650,28.13,,13.54
0.86660,28.73,,13.80
0.86670,29.30,,13.61
0.86680,29.75,,13.49
0.86690,30.83,,13.46
0.86700,32.12,,13.41
0.86710,32.94,,13.24
0.86720,33.96,,13.41
0.86730,34.87,,13.41
0.86740,35.49,,13.69
0.86750,36.41,,13.72
0.86760,37.13,,13.69
0.86770,37.42,,13.72
0.86780,37.99,,13.54
0.86790,38.37,,13.27
0.86800,39.03,,13.16
0.86810,39.69,,13.19
0.86820,40.70,,13.41
0.86830,41.02,,13.54
0.86840,41.25,,13.80
0.86850,41.76,,13.93
0.86860,41.89,,13.88
0.86870,41.93,,13.69
0.86880,42.23,,13.56
0.86890,42.81,,13.39
0.86900,43.03,,13.34
0.86910,42.67,,13.16
0.86920,43.36,,13.27
0.86930,44.10,,13.41
0.86940,44.51,,13.54
0.86950,44.56,,13.56
0.86960,44.57,,13.46
0.86970,44.82,,13.49
0.86980,45.11,,13.39
0.86990,45.58,,13.41
0.87000,45.59,,13.54
0.87010,45.29,,13.56
0.87020,44.57,,13.56
0.87030,44.02,,13.54
0.87040,44.54,,13.64
0.87050,45.50,,13.46
0.87060,46.27,,13.41
0.87070,46.73,,13.46
0.87080,46.83,,13.41
0.87090,46.86,,13.46
0.87100,47.13,,13.64
0.87110,47.36,,13.69
0.87120,47.42,,13.64
0.87130,47.61,,13.64
0.87140,47.49,,13.46
0.87150,47.50,,13.41
0.87160,47.61,,13.24
0.87170,48.32,,13.27
0.87180,48.61,,13.39
0.87190,48.95,,13.41
0.87200,48.87,,13.54
0.87210,49.36,,13.72
0.87220,49.24,,13.69
0.87230,48.14,,13.72
0.87240,48.93,,13.41
0.87250,49.13,,13.46
0.87260,49.55,,13.34
0.87270,49.75,,13.24
0.87280,49.78,,13.49
0.87290,50.07,,13.61
0.87300,50.32,,13.56
0.87310,50.64,,13.85
0.87320,51.10,,13.64
0.87330,51.48,,13.49
0.87340,51.75,,13.39
0.87350,52.19,,13.27
0.87360,52.76,,13.24
0.87370,53.28,,13.41
0.87380,53.30,,13.61
0.87390,52.93,,13.80
0.87400,52.63,,13.69
0.87410,52.99,,13.56
0.87420,54.00,,13.54
0.87430,54.86,,13.27
0.87440,55.76,,13.19
0.87450,56.17,,13.24
0.87460,56.69,,13.49
0.87470,56.92,,13.39
0.87480,57.11,,13.64
0.87490,57.31,,13.61
0.87500,57.63,,13.49
0.87510,57.69,,13.46
0.87520,57.95,,13.19
0.87530,57.86,,13.19
0.87540,58.37,,13.24
0.87550,59.19,,13.41
0.87560,59.32,,13.69
0.87570,58.79,,13.72
0.87580,58.90,,13.61
0.87590,59.43,,13.64
0.87600,59.81,,13.54
0.87610,60.29,,13.34
0.87620,60.68,,13.24
0.87630,61.15,,13.34
0.87640,61.82,,13.49
0.87650,61.86,,13.61
0.87660,62.13,,13.49
0.87670,62.28,,13.46
0.87680,62.48,,13.41
0.87690,62.53,,13.24
0.87700,61.78,,13.41
0.87710,60.25,,13.09
0.87720,61.17,,13.27
0.87730,63.38,,13.27
0.87740,64.36,,13.46
0.87750,64.86,,13.64
0.87760,64.38,,13.54
0.87770,64.37,,13.80
0.87780,63.83,,13.69
0.87790,64.54,,13.49
0.87800,64.99,,13.39
0.87810,65.30,,13.12
0.87820,65.49,,13.24
0.87830,65.70,,13.41
0.87840,65.47,,13.56
0.87850,65.69,,13.69
0.87860,65.73,,13.88
0.87870,65.74,,13.54
0.87880,65.77,,13.27
0.87890,66.29,,13.09
0.87900,66.27,,12.98
0.87910,66.45,,13.09
0.87920,66.67,,13.27
0.87930,66.76,,13.27
0.87940,66.99,,13.69
0.87950,66.74,,13.56
0.87960,66.07,,13.54
0.87970,65.98,,13.56
0.87980,66.36,,13.39
0.87990,66.38,,13.41
0.88000,65.92,,13.31
0.88010,65.83,,13.41
0.88020,65.99,,13.46
0.88030,66.82,,13.64
0.88040,67.74,,13.49
0.88050,67.77,,13.54
0.88060,67.58,,13.41
0.88070,67.39,,13.39
0.88080,67.25,,13.27
0.88090,67.46,,13.09
0.88100,67.10,,13.41
0.88110,67.18,,13.24
0.88120,67.26,,13.56
0.88130,66.92,,13.56
0.88140,66.62,,13.54
0.88150,66.07,,13.41
0.88160,66.22,,13.31
0.88170,66.31,,13.19
0.88180,66.44,,13.24
0.88190,66.47,,13.41
0.88200,66.43,,13.46
0.88210,66.03,,13.64
0.88220,65.71,,13.54
0.88230,65.16,,13.56
0.88240,65.24,,13.41
0.88250,64.92,,13.09
0.88260,65.01,,13.12
0.88270,64.72,,13.09
0.88280,64.36,,13.12
0.88290,63.52,,13.46
0.88300,62.91,,13.64
0.88310,62.32,,13.69
0.88320,61.87,,13.64
0.88330,61.83,,13.64
0.88340,61.12,,13.39
0.88350,61.17,,13.12
0.88360,61.24,,13.09
0.88370,61.11,,13.12
0.88380,60.58,,13.24
0.88390,60.20,,13.41
0.88400,59.93,,13.54
0.88410,59.74,,13.56
0.88420,58.95,,13.61
0.88430,58.81,,13.41
0.88440,58.78,,13.19
0.88450,58.40,,13.24
0.88460,58.45,,13.19
0.88470,58.46,,13.24
0.88480,58.04,,13.41
0.88490,57.66,,13.46
0.88500,57.11,,13.64
0.88510,56.33,,13.46
0.88520,55.91,,13.56
0.88530,55.15,,13.27
0.88540,54.54,,13.24
0.88550,53.91,,13.12
0.88560,53.47,,13.09
0.88570,52.92,,13.19
0.88580,52.17,,13.46
0.88590,51.92,,13.56
0.88600,51.71,,13.54
0.88610,51.50,,13.41
0.88620,51.20,,13.39
0.88630,51.00,,13.27
0.88640,50.70,,12.98
0.88650,50.02,,13.24
0.88660,49.25,,13.19
0.88670,48.30,,13.31
0.88680,47.50,,13.56
0.88690,47.17,,13.54
0.88700,46.27,,13.56
0.88710,44.73,,13.24
0.88720,44.44,,13.19
0.88730,43.92,,13.19
0.88740,43.10,,13.09
0.88750,42.84,,13.34
0.88760,42.09,,13.46
0.88770,41.21,,13.41
0.88780,40.45,,13.69
0.88790,40.09,,13.64
0.88800,39.02,,13.46
0.88810,37.67,,13.41
0.88820,37.41,,13.09
0.88830,37.40,,13.12
0.88840,37.30,,12.98
0.88850,36.84,,13.24
0.88860,36.79,,13.19
0.88870,37.02,,13.46
0.88880,36.06,,13.56
0.88890,35.10,,13.39
0.88900,35.29,,13.56
0.88910,34.86,,13.24
0.88920,35.05,,13.27
0.88930,34.99,,13.12
0.88940,34.67,,13.24
0.88950,34.42,,13.19
0.88960,34.67,,13.31
0.88970,35.15,,13.41
0.88980,35.43,,13.39
0.88990,35.40,,13.41
0.89000,35.67,,13.39
0.89010,35.79,,13.27
0.89020,35.94,,13.24
0.89030,36.31,,13.27
0.89040,36.45,,13.41
0.89050,36.33,,13.39
0.89060,35.92,,13.41
0.89070,35.75,,13.39
0.89080,36.15,,13.12
0.89090,36.28,,13.16
0.89100,36.39,,13.05
0.89110,36.62,,13.16
0.89120,36.85,,13.19
0.89130,36.99,,13.19
0.89140,37.24,,13.31
0.89150,37.81,,13.41
0.89160,38.39,,13.39
0.89170,38.41,,13.27
0.89180,38.89,,13.24
0.89190,39.07,,13.27
0.89200,39.08,,13.09
0.89210,39.58,,13.27
0.89220,39.70,,13.24
0.89230,40.03,,13.34
0.89240,39.62,,13.19
0.89250,39.53,,13.39
0.89260,39.76,,13.12
0.89270,40.04,,12.95
0.89280,40.52,,12.98
0.89290,40.76,,13.09
0.89300,41.22,,13.12
0.89310,40.97,,13.39
0.89320,41.13,,13.27
0.89330,41.23,,13.27
0.89340,42.28,,13.24
0.89350,41.83,,13.12
0.89360,42.23,,13.02
0.89370,42.38,,12.98
0.89380,42.49,,13.02
0.89390,42.35,,13.19
0.89400,42.48,,13.16
0.89410,42.41,,13.27
0.89420,42.25,,13.24
0.89430,42.41,,13.12
0.89440,42.35,,13.12
0.89450,42.35,,13.16
0.89460,42.41,,13.05
0.89470,42.69,,13.16
0.89480,42.85,,13.19
0.89490,42.80,,13.24
0.89500,42.99,,13.12
0.89510,43.11,,13.24
0.89520,43.72,,13.27
0.89530,44.62,,13.19
0.89540,44.35,,13.02
0.89550,44.24,,13.12
0.89560,44.40,,13.09
0.89570,44.17,,13.19
0.89580,44.39,,13.02
0.89590,44.05,,13.19
0.89600,44.23,,13.16
0.89610,44.31,,13.12
0.89620,43.79,,13.09
0.89630,43.77,,12.98
0.89640,43.73,,12.98
0.89650,43.86,,13.09
0.89660,43.67,,13.12
0.89670,43.55,,13.09
0.89680,43.34,,13.41
0.89690,43.58,,13.24
0.89700,44.17,,13.12
0.89710,44.28,,13.09
0.89720,44.59,,13.19
0.89730,44.54,,13.19
0.89740,44.27,,13.09
0.89750,44.26,,13.12
0.89760,44.50,,13.24
0.89770,44.82,,13.12
0.89780,45.03,,13.09
0.89790,45.01,,13.12
0.89800,45.04,,12.95
0.89810,45.18,,12.98
0.89820,45.58,,13.09
0.89830,45.88,,13.05
0.89840,45.98,,13.05
0.89850,46.18,,13.16
0.89860,46.40,,13.19
0.89870,46.47,,13.24
0.89880,46.68,,13.12
0.89890,46.62,,13.09
0.89900,46.94,,12.84
0.89910,47.03,,13.09
0.89920,47.44,,12.98
0.89930,47.86,,13.09
0.89940,47.84,,13.12
0.89950,48.19,,13.05
0.89960,48.56,,13.16
0.89970,48.69,,13.12
0.89980,48.73,,13.16
0.89990,48.69,,12.98
0.90000,48.71,,12.88
0.90010,48.66,,12.84
0.90020,48.96,,12.81
0.90030,48.95,,12.98
0.90040,49.01,,13.05
0.90050,49.01,,13.16
0.90060,49.31,,13.12
0.90070,49.57,,13.09
0.90080,49.95,,12.98
0.90090,50.39,,12.95
0.90100,50.23,,12.91
0.90110,50.02,,12.81
0.90120,50.13,,12.91
0.90130,50.30,,12.88
0.90140,50.76,,12.91
0.90150,51.13,,12.98
0.90160,51.39,,13.09
0.90170,51.47,,13.12
0.90180,51.23,,13.09
0.90190,51.32,,12.98
0.90200,51.83,,12.95
0.90210,51.84,,12.84
0.90220,52.38,,12.95
0.90230,52.39,,12.84
0.90240,52.46,,12.98
0.90250,52.82,,13.02
0.90260,52.97,,12.98
0.90270,53.08,,13.02
0.90280,53.07,,12.77
0.90290,53.21,,12.81
0.90300,53.02,,12.77
0.90310,52.65,,12.67
0.90320,52.86,,12.84
0.90330,52.79,,12.88
0.90340,52.94,,12.98
0.90350,52.81,,12.91
0.90360,52.56,,12.88
0.90370,53.04,,12.98
0.90380,53.07,,12.88
0.90390,53.25,,12.91
0.90400,53.04,,13.02
0.90410,53.33,,12.77
0.90420,53.53,,12.81
0.90430,53.85,,12.77
0.90440,54.14,,12.84
0.90450,54.26,,12.95
0.90460,54.51,,12.84
0.90470,54.05,,12.95
0.90480,54.22,,12.77
0.90490,54.73,,12.81
0.90500,54.70,,12.77
0.90510,54.95,,12.81
0.90520,54.94,,12.71
0.90530,54.76,,12.67
0.90540,54.54,,12.84
0.90550,54.50,,12.91
0.90560,54.92,,12.81
0.90570,55.06,,12.77
0.90580,55.04,,12.61
0.90590,54.84,,12.77
0.90600,54.89,,12.67
0.90610,54.79,,12.71
0.90620,54.78,,12.81
0.90630,54.76,,12.77
0.90640,54.93,,12.77
0.90650,54.55,,12.81
0.90660,54.88,,12.77
0.90670,54.97,,12.61
0.90680,55.37,,12.71
0.90690,55.62,,12.54
0.90700,55.07,,12.71
0.90710,54.42,,12.81
0.90720,54.27,,12.77
0.90730,54.01,,12.61
0.90740,54.02,,12.57
0.90750,53.83,,12.57
0.90760,53.99,,12.54
0.90770,53.92,,12.57
0.90780,53.33,,12.67
0.90790,53.23,,12.57
0.90800,52.86,,12.67
0.90810,52.36,,12.71
0.90820,52.65,,12.61
0.90830,52.12,,12.38
0.90840,51.58,,12.44
0.90850,50.65,,12.54
0.90860,50.09,,12.57
0.90870,49.84,,12.54
0.90880,49.47,,12.71
0.90890,49.41,,12.67
0.90900,48.58,,12.64
0.90910,47.62,,12.47
0.90920,47.43,,12.44
0.90930,47.38,,12.28
0.90940,47.22,,12.38
0.90950,46.92,,12.38
0.90960,46.41,,12.41
0.90970,45.82,,12.44
0.90980,45.44,,12.54
0.90990,45.04,,12.44
0.91000,44.56,,12.41
0.91010,44.38,,12.32
0.91020,43.74,,12.28
0.91030,43.72,,12.32
0.91040,43.08,,12.19
0.91050,43.24,,12.22
0.91060,42.80,,12.38
0.91070,42.69,,12.28
0.91080,41.44,,12.44
0.91090,40.79,,12.47
0.91100,40.59,,12.26
0.91110,40.60,,12.34
0.91120,40.17,,12.19
0.91130,40.12,,12.22
0.91140,39.56,,12.38
0.91150,39.02,,12.19
0.91160,38.72,,12.22
0.91170,38.25,,12.19
0.91180,37.95,,12.22
0.91190,37.32,,12.19
0.91200,36.98,,12.22
0.91210,36.83,,12.07
0.91220,36.67,,12.16
0.91230,36.38,,12.01
0.91240,35.79,,12.19
0.91250,35.09,,12.03
0.91260,34.92,,12.19
0.91270,34.77,,12.22
0.91280,34.74,,12.01
0.91290,34.20,,11.85
0.91300,34.05,,11.95
0.91310,33.89,,11.91
0.91320,33.83,,11.83
0.91330,33.48,,11.91
0.91340,33.12,,12.07
0.91350,33.01,,12.07
0.91360,32.80,,12.03
0.91370,32.76,,12.19
0.91380,32.56,,12.03
0.91390,32.52,,11.83
0.91400,32.56,,11.85
0.91410,32.43,,11.83
0.91420,32.15,,11.85
0.91430,31.67,,11.72
0.91440,31.37,,11.83
0.91450,31.53,,11.79
0.91460,31.39,,11.83
0.91470,31.03,,11.68
0.91480,30.37,,11.61
0.91490,30.40,,11.68
0.91500,30.61,,11.72
0.91510,30.76,,11.79
0.91520,30.61,,11.72
0.91530,30.57,,11.68
0.91540,30.53,,11.83
0.91550,30.51,,11.66
0.91560,30.13,,11.74
0.91570,29.63,,11.78
0.91580,28.99,,11.68
0.91590,28.25,,11.50
0.91600,27.69,,11.35
0.91610,28.15,,11.44
0.91620,28.72,,11.40
0.91630,28.85,,11.66
0.91640,28.86,,11.72
0.91650,28.74,,11.79
0.91660,28.64,,11.50
0.91670,28.55,,11.35
0.91680,28.77,,11.18
0.91690,28.87,,11.35
0.91700,29.12,,11.18
0.91710,29.32,,11.51
0.91720,29.58,,11.66
0.91730,29.84,,11.57
0.91740,29.99,,11.61
0.91750,30.12,,11.33
0.91760,30.21,,11.19
0.91770,30.36,,11.02
0.91780,30.65,,11.03
0.91790,30.94,,11.23
0.91800,31.09,,11.29
0.91810,31.53,,11.50
0.91820,31.61,,11.35
0.91830,31.60,,11.33
0.91840,31.40,,11.02
0.91850,31.78,,11.03
0.91860,32.57,,11.18
0.91870,33.47,,11.35
0.91880,33.87,,11.33
0.91890,34.15,,11.51
0.91900,34.48,,11.18
0.91910,34.80,,11.19
0.91920,35.38,,11.02
0.91930,35.95,,10.88
0.91940,35.83,,11.02
0.91950,35.72,,10.88
0.91960,35.96,,11.03
0.91970,36.25,,11.02
0.91980,36.64,,11.24
0.91990,37.07,,11.28
0.92000,37.48,,11.19
0.92010,37.71,,11.18
0.92020,37.72,,11.03
0.92030,38.13,,11.02
0.92040,38.68,,11.02
0.92050,38.89,,10.98
0.92060,39.39,,10.97
0.92070,39.60,,11.13
0.92080,39.85,,11.02
0.92090,40.12,,11.03
0.92100,40.96,,11.02
0.92110,41.74,,11.03
0.92120,42.31,,10.97
0.92130,42.58,,10.93
0.92140,42.95,,11.02
0.92150,42.95,,11.02
0.92160,43.46,,11.03
0.92170,43.91,,11.02
0.92180,44.16,,11.03
0.92190,43.89,,11.02
0.92200,43.93,,10.88
0.92210,44.13,,11.02
0.92220,44.62,,10.88
0.92230,45.10,,11.02
0.92240,45.33,,10.88
0.92250,45.53,,11.03
0.92260,45.74,,11.02
0.92270,46.27,,10.88
0.92280,46.44,,11.02
0.92290,46.88,,11.03
0.92300,47.30,,11.18
0.92310,47.39,,11.03
0.92320,47.59,,10.73
0.92330,48.11,,10.59
0.92340,48.79,,10.88
0.92350,49.47,,11.02
0.92360,49.76,,11.03
0.92370,49.95,,11.33
0.92380,49.83,,11.03
0.92390,49.86,,10.88
0.92400,50.07,,10.59
0.92410,50.81,,10.45
0.92420,51.80,,10.73
0.92430,52.01,,11.02
0.92440,52.15,,11.18
0.92450,52.41,,11.19
0.92460,52.64,,11.18
0.92470,53.23,,10.73
0.92480,53.53,,10.59
0.92490,53.24,,10.45
0.92500,53.41,,10.59
0.92510,53.91,,10.88
0.92520,54.55,,11.02
0.92530,54.94,,11.19
0.92540,54.91,,10.59
0.92550,55.14,,10.59
0.92560,55.38,,10.88
0.92570,55.40,,11.02
0.92580,55.87,,11.19
0.92590,56.19,,11.50
0.92600,55.97,,10.59
0.92610,55.75,,9.81
0.92620,56.32,,9.80
0.92630,62.06,,10.06
0.92640,66.25,,10.88
0.92650,67.61,,11.83
0.92660,67.21,,11.95
0.92670,68.48,,11.57
0.92680,69.04,,11.02
0.92690,69.50,,10.45
0.92700,69.73,,10.06
0.92710,69.11,,10.45
0.92720,68.81,,10.73
0.92730,69.22,,10.88
0.92740,69.35,,10.92
0.92750,70.12,,10.97
0.92760,71.46,,10.45
0.92770,71.09,,10.19
0.92780,69.15,,10.59
0.92790,67.24,,10.59
0.92800,63.08,,10.88
0.92810,57.25,,11.02
0.92820,55.53,,10.88
0.92830,55.16,,10.45
0.92840,55.45,,10.73
0.92850,55.57,,10.88
0.92860,55.29,,11.02
0.92870,55.22,,11.03
0.92880,55.07,,11.02
0.92890,54.79,,10.73
0.92900,54.55,,10.45
0.92910,54.11,,10.45
0.92920,53.91,,10.45
0.92930,54.19,,10.73
0.92940,54.32,,11.02
0.92950,54.37,,11.13
0.92960,54.54,,11.08
0.92970,54.31,,10.73
0.92980,54.10,,10.73
0.92990,53.95,,10.45
0.93000,53.98,,10.73
0.93010,54.24,,10.73
0.93020,54.15,,11.03
0.93030,54.19,,11.02
0.93040,54.11,,10.88
0.93050,53.62,,10.59
0.93060,53.28,,10.59
0.93070,53.05,,10.45
0.93080,53.09,,10.73
0.93090,53.17,,10.98
0.93100,52.75,,10.92
0.93110,52.38,,10.88
0.93120,52.36,,10.73
0.93130,52.50,,10.45
0.93140,52.61,,10.45
0.93150,52.48,,10.59
0.93160,52.33,,10.73
0.93170,52.32,,10.73
0.93180,52.39,,10.88
0.93190,52.55,,10.73
0.93200,52.63,,10.59
0.93210,52.42,,10.59
0.93220,52.46,,10.59
0.93230,52.26,,10.59
0.93240,51.92,,10.59
0.93250,52.07,,10.73
0.93260,52.36,,10.59
0.93270,52.22,,10.59
0.93280,51.82,,10.59
0.93290,51.51,,10.59
0.93300,51.27,,10.45
0.93310,51.50,,10.59
0.93320,51.76,,10.59
0.93330,51.78,,10.73
0.93340,51.74,,10.59
0.93350,51.68,,10.59
0.93360,51.48,,10.45
0.93370,51.38,,10.32
0.93380,51.11,,10.45
0.93390,51.33,,10.45
0.93400,51.40,,10.59
0.93410,50.95,,10.45
0.93420,50.66,,10.59
0.93430,50.33,,10.59
0.93440,50.42,,10.45
0.93450,50.11,,10.45
0.93460,49.82,,10.45
0.93470,49.57,,10.59
0.93480,49.25,,10.45
0.93490,48.67,,10.45
0.93500,48.81,,10.45
0.93510,48.57,,10.31
0.93520,48.11,,10.32
0.93530,47.65,,10.31
0.93540,47.65,,10.59
0.93550,47.52,,10.45
0.93560,47.57,,10.59
0.93570,47.04,,10.59
0.93580,46.54,,10.31
0.93590,46.22,,10.19
0.93600,45.59,,10.18
0.93610,45.30,,10.19
0.93620,45.04,,10.45
0.93630,44.65,,10.45
0.93640,44.62,,10.45
0.93650,43.64,,10.32
0.93660,42.77,,10.06
0.93670,42.57,,10.05
0.93680,42.40,,10.06
0.93690,42.97,,10.31
0.93700,42.58,,10.45
0.93710,41.73,,10.59
0.93720,41.27,,10.32
0.93730,40.84,,10.18
0.93740,40.37,,9.94
0.93750,40.34,,9.94
0.93760,40.54,,10.18
0.93770,40.36,,10.45
0.93780,39.84,,10.31
0.93790,39.22,,10.19
0.93800,38.70,,10.05
0.93810,38.80,,9.81
0.93820,38.89,,9.80
0.93830,38.72,,10.06
0.93840,38.40,,10.18
0.93850,38.24,,10.19
0.93860,38.02,,10.19
0.93870,37.94,,10.05
0.93880,37.74,,9.94
0.93890,37.56,,9.69
0.93900,37.04,,9.81
0.93910,36.66,,9.80
0.93920,36.78,,9.94
0.93930,36.66,,10.05
0.93940,36.20,,9.81
0.93950,35.45,,9.81
0.93960,34.72,,9.69
0.93970,34.27,,9.58
0.93980,33.94,,9.57
0.93990,33.63,,9.81
0.94000,33.61,,9.93
0.94010,33.49,,9.94
0.94020,33.50,,9.93
0.94030,33.31,,9.70
0.94040,32.87,,9.45
0.94050,32.72,,9.36
0.94060,32.44,,9.25
0.94070,32.47,,9.45
0.94080,32.92,,9.47
0.94090,32.79,,9.69
0.94100,32.35,,9.58
0.94110,32.25,,9.45
0.94120,32.06,,9.36
0.94130,31.77,,9.23
0.94140,31.77,,9.36
0.94150,31.79,,9.36
0.94160,31.81,,9.45
0.94170,31.79,,9.47
0.94180,32.03,,9.34
0.94190,31.86,,9.15
0.94200,31.85,,9.13
0.94210,31.71,,8.94
0.94220,31.77,,9.13
0.94230,31.90,,9.15
0.94240,31.86,,9.23
0.94250,31.68,,9.25
0.94260,31.38,,9.15
0.94270,31.14,,9.02
0.94280,31.23,,9.04
0.94290,31.14,,8.92
0.94300,31.19,,8.84
0.94310,30.98,,8.73
0.94320,30.98,,8.84
0.94330,31.14,,8.92
0.94340,30.54,,8.84
0.94350,30.00,,8.84
0.94360,29.87,,8.82
0.94370,29.50,,8.75
0.94380,29.35,,8.82
0.94390,29.09,,8.75
0.94400,28.97,,8.92
0.94410,28.81,,8.75
0.94420,28.49,,8.54
0.94430,28.30,,8.47
0.94440,28.11,,8.36
0.94450,27.92,,8.47
0.94460,27.58,,8.47
0.94470,27.18,,8.45
0.94480,26.46,,8.38
0.94490,25.78,,8.45
0.94500,25.51,,8.38
0.94510,25.43,,8.54
0.94520,25.75,,8.47
0.94530,25.87,,8.45
0.94540,25.84,,8.21
0.94550,25.78,,8.05
0.94560,25.73,,7.94
0.94570,25.59,,8.05
0.94580,25.55,,7.94
0.94590,25.17,,7.89
0.94600,24.66,,7.86
0.94610,24.66,,7.97
0.94620,24.42,,8.10
0.94630,24.19,,8.13
0.94640,23.94,,8.10
0.94650,23.33,,7.89
0.94660,22.74,,7.66
0.94670,22.17,,7.56
0.94680,21.74,,7.59
0.94690,21.73,,7.56
0.94700,21.66,,7.59
0.94710,21.32,,7.49
0.94720,20.67,,7.59
0.94730,20.31,,7.49
0.94740,19.79,,7.52
0.94750,19.36,,7.38
0.94760,19.18,,7.35
0.94770,19.15,,7.25
0.94780,19.32,,7.35
0.94790,19.35,,7.25
0.94800,19.49,,7.09
0.94810,19.30,,6.94
0.94820,19.05,,7.09
0.94830,18.95,,7.06
0.94840,18.79,,6.97
0.94850,18.03,,6.88
0.94860,17.98,,6.88
0.94870,18.08,,7.03
0.94880,17.77,,6.88
0.94890,17.47,,6.67
0.94900,16.98,,6.65
0.94910,16.55,,6.62
0.94920,16.91,,6.60
0.94930,16.90,,6.40
0.94940,16.59,,6.49
0.94950,16.29,,6.49
0.94960,16.02,,6.51
0.94970,15.80,,6.39
0.94980,15.32,,6.20
0.94990,15.07,,6.24
0.95000,15.38,,6.25
0.95010,15.34,,6.05
0.95020,15.40,,5.97
0.95030,15.56,,6.01
0.95040,15.63,,6.02
0.95050,15.78,,6.01
0.95060,15.82,,5.92
0.95070,16.06,,5.67
0.95080,15.95,,5.83
0.95090,15.81,,5.67
0.95100,16.05,,5.59
0.95110,16.21,,5.52
0.95120,15.67,,5.51
0.95130,15.07,,5.52
0.95140,15.19,,5.37
0.95150,14.80,,5.29
0.95160,14.42,,5.29
0.95170,13.99,,5.23
0.95180,14.29,,5.03
0.95190,14.91,,5.03
0.95200,15.05,,5.03
0.95210,15.06,,4.91
0.95220,15.10,,4.90
0.95230,15.69,,4.73
0.95240,16.37,,4.62
0.95250,16.71,,4.52
0.95260,16.97,,4.68
0.95270,17.37,,4.56
0.95280,17.84,,4.37
0.95290,18.91,,4.22
0.95300,19.67,,4.24
0.95310,19.69,,4.18
0.95320,19.70,,4.15
0.95330,20.06,,4.05
0.95340,20.37,,3.94
0.95350,20.82,,3.86
0.95360,21.28,,3.73
0.95370,21.56,,3.69
0.95380,21.79,,3.64
0.95390,22.08,,3.56
0.95400,22.26,,3.48
0.95410,22.59,,3.33
0.95420,23.15,,3.25
0.95430,22.79,,3.22
0.95440,22.96,,3.10
0.95450,23.29,,3.07
0.95460,23.49,,2.87
0.95470,23.45,,2.82
0.95480,23.27,,2.76
0.95490,23.72,,2.67
0.95500,23.94,,2.53
0.95510,23.75,,2.42
0.95520,24.28,,2.34
0.95530,24.94,,2.22
0.95540,24.99,,2.12
0.95550,24.87,,1.99
0.95560,24.84,,1.87
0.95570,25.17,,1.73
0.95580,25.49,,1.59
0.95590,25.58,,1.45
0.95600,25.51,,1.34
0.95610,25.62,,1.19
0.95620,25.60,,1.03
0.95630,25.84,,0.87
0.95640,26.48,,0.69
0.95650,27.24,,0.46
0.95660,37.32,,0.00
0.95670,45.55,,0.22
0.95680,45.45,,0.32
0.95690,45.07,,0.34
0.95700,44.40,,0.31
0.95710,43.99,,0.22
0.95720,44.86,,0.07
0.95730,46.15,,0.30
0.95740,45.75,,0.45
0.95750,45.70,,0.56
0.95760,46.26,,0.68
0.95770,46.15,,0.80
0.95780,46.95,,0.92
0.95790,47.68,,1.03
0.95800,47.66,,1.13
0.95810,47.65,,1.23
0.95820,47.76,,1.32
0.95830,47.75,,1.40
0.95840,47.92,,1.48
0.95850,48.27,,1.54
0.95860,47.91,,1.60
0.95870,48.28,,1.65
0.95880,48.39,,1.68
0.95890,48.48,,1.72
0.95900,48.17,,1.75
0.95910,48.28,,1.77
0.95920,48.75,,1.80
0.95930,48.98,,1.84
0.95940,49.56,,1.86
0.95950,49.98,,1.95
0.95960,50.24,,1.99
0.95970,50.31,,2.08
0.95980,50.13,,2.13
0.95990,49.85,,2.24
0.96000,50.09,,2.26
0.96010,50.31,,2.37
0.96020,49.90,,2.41
0.96030,49.89,,2.48
0.96040,50.12,,2.53
