桩号(km),左高程(mm),右高程(mm),速度(m/s)
0.54560,56.65,,8.13
0.54570,56.91,,7.86
0.54580,56.81,,7.59
0.54590,57.05,,7.94
0.54600,57.41,,8.21
0.54610,58.35,,8.30
0.54620,57.51,,8.19
0.54630,57.02,,7.81
0.54640,56.90,,7.71
0.54650,56.62,,8.05
0.54660,56.79,,8.45
0.54670,57.37,,8.38
0.54680,57.89,,8.10
0.54690,57.85,,7.97
0.54700,58.26,,7.97
0.54710,58.64,,8.19
0.54720,59.22,,8.30
0.54730,60.25,,8.45
0.54740,60.83,,8.30
0.54750,61.20,,8.02
0.54760,61.26,,7.97
0.54770,61.22,,8.36
0.54780,61.14,,8.38
0.54790,61.49,,8.45
0.54800,61.21,,8.30
0.54810,61.12,,8.21
0.54820,61.95,,8.19
0.54830,62.35,,8.30
0.54840,62.62,,8.54
0.54850,62.87,,8.38
0.54860,63.40,,8.36
0.54870,63.29,,8.47
0.54880,63.42,,8.45
0.54890,63.50,,8.47
0.54900,62.65,,8.38
0.54910,62.35,,8.45
0.54920,62.18,,8.47
0.54930,61.79,,8.54
0.54940,61.96,,8.65
0.54950,62.36,,8.54
0.54960,63.19,,8.56
0.54970,63.44,,8.63
0.54980,63.21,,8.47
0.54990,63.20,,8.45
0.55000,62.34,,8.65
0.55010,62.61,,8.65
0.55020,63.50,,8.54
0.55030,62.32,,8.84
0.55040,62.02,,8.82
0.55050,61.83,,8.75
0.55060,60.89,,8.63
0.55070,60.35,,8.75
0.55080,60.71,,8.73
0.55090,61.15,,8.56
0.55100,61.08,,8.73
0.55110,61.42,,8.84
0.55120,63.03,,8.84
0.55130,63.10,,8.92
0.55140,64.17,,8.94
0.55150,64.31,,8.73
0.55160,63.80,,8.56
0.55170,63.13,,8.63
0.55180,64.67,,9.04
0.55190,66.38,,9.13
0.55200,66.48,,9.15
0.55210,67.11,,8.75
0.55220,66.91,,8.63
0.55230,67.46,,8.75
0.55240,67.77,,8.92
0.55250,68.09,,9.15
0.55260,67.84,,9.23
0.55270,67.58,,9.04
0.55280,67.82,,8.82
0.55290,67.75,,8.75
0.55300,67.38,,8.92
0.55310,67.14,,9.15
0.55320,66.91,,9.36
0.55330,66.35,,9.23
0.55340,65.82,,9.15
0.55350,64.84,,8.92
0.55360,63.82,,8.94
0.55370,63.43,,9.02
0.55380,64.03,,9.25
0.55390,64.59,,9.34
0.55400,64.70,,9.36
0.55410,64.26,,9.25
0.55420,63.79,,9.02
0.55430,63.12,,9.15
0.55440,62.56,,9.23
0.55450,62.23,,9.47
0.55460,61.84,,9.34
0.55470,61.64,,9.47
0.55480,61.43,,9.34
0.55490,60.98,,9.25
0.55500,60.42,,9.23
0.55510,59.68,,9.36
0.55520,59.54,,9.47
0.55530,59.99,,9.45
0.55540,60.03,,9.47
0.55550,59.94,,9.57
0.55560,59.77,,9.47
0.55570,59.31,,9.34
0.55580,58.76,,9.25
0.55590,58.55,,9.57
0.55600,59.08,,9.58
0.55610,59.07,,9.47
0.55620,59.03,,9.57
0.55630,58.51,,9.47
0.55640,57.96,,9.45
0.55650,57.75,,9.47
0.55660,57.57,,9.57
0.55670,57.06,,9.58
0.55680,56.90,,9.80
0.55690,57.21,,9.81
0.55700,56.79,,9.69
0.55710,56.26,,9.47
0.55720,55.54,,9.36
0.55730,55.24,,9.57
0.55740,57.18,,9.70
0.55750,55.09,,9.69
0.55760,54.73,,9.94
0.55770,54.28,,9.69
0.55780,54.08,,9.70
0.55790,53.59,,9.69
0.55800,53.07,,9.58
0.55810,53.70,,9.81
0.55820,53.53,,9.93
0.55830,53.40,,9.81
0.55840,53.43,,9.80
0.55850,53.34,,9.70
0.55860,53.05,,9.69
0.55870,52.35,,9.81
0.55880,52.19,,9.93
0.55890,52.16,,10.06
0.55900,52.35,,9.93
0.55910,52.34,,9.81
0.55920,52.25,,9.94
0.55930,52.75,,10.05
0.55940,52.36,,9.94
0.55950,52.04,,10.05
0.55960,51.40,,9.81
0.55970,51.32,,9.69
0.55980,51.92,,9.94
0.55990,52.11,,10.05
0.56000,52.06,,10.32
0.56010,51.94,,10.06
0.56020,51.74,,10.05
0.56030,51.81,,10.06
0.56040,51.64,,9.93
0.56050,52.12,,10.06
0.56060,52.12,,10.18
0.56070,51.92,,10.32
0.56080,51.41,,10.05
0.56090,51.14,,10.06
0.56100,50.90,,9.93
0.56110,50.73,,10.06
0.56120,50.93,,10.32
0.56130,50.85,,10.18
0.56140,51.22,,10.32
0.56150,51.36,,10.31
0.56160,51.94,,10.19
0.56170,52.27,,10.18
0.56180,52.32,,10.32
0.56190,51.86,,10.18
0.56200,51.85,,10.19
0.56210,52.19,,10.06
0.56220,52.62,,10.18
0.56230,53.00,,10.45
0.56240,53.33,,10.31
0.56250,53.03,,10.45
0.56260,52.76,,10.31
0.56270,52.68,,10.19
0.56280,52.36,,10.31
0.56290,52.51,,10.32
0.56300,52.64,,10.45
0.56310,52.29,,10.45
0.56320,52.57,,10.59
0.56330,52.67,,10.45
0.56340,53.18,,10.45
0.56350,53.13,,10.31
0.56360,53.31,,10.19
0.56370,53.59,,10.59
0.56380,53.49,,10.59
0.56390,53.56,,10.45
0.56400,53.38,,10.45
0.56410,53.73,,10.45
0.56420,54.03,,10.45
0.56430,54.28,,10.45
0.56440,54.45,,10.45
0.56450,54.56,,10.73
0.56460,55.33,,10.59
0.56470,55.07,,10.59
0.56480,55.19,,10.59
0.56490,55.33,,10.59
0.56500,55.18,,10.45
0.56510,55.23,,10.59
0.56520,55.12,,10.73
0.56530,54.73,,10.59
0.56540,54.55,,10.73
0.56550,54.63,,10.88
0.56560,54.19,,10.73
0.56570,54.15,,10.59
0.56580,54.18,,10.73
0.56590,54.28,,10.73
0.56600,54.20,,10.64
0.56610,54.14,,10.83
0.56620,54.22,,10.73
0.56630,54.10,,10.88
0.56640,54.12,,10.73
0.56650,53.72,,10.73
0.56660,53.21,,10.73
0.56670,52.88,,10.73
0.56680,53.13,,10.98
0.56690,53.11,,10.92
0.56700,53.08,,10.73
0.56710,52.95,,10.73
0.56720,53.12,,10.88
0.56730,52.80,,10.88
0.56740,52.86,,10.88
0.56750,52.70,,11.03
0.56760,52.64,,10.88
0.56770,53.02,,11.03
0.56780,52.96,,11.02
0.56790,52.98,,10.88
0.56800,52.42,,10.88
0.56810,51.86,,10.88
0.56820,51.31,,10.88
0.56830,51.17,,10.88
0.56840,50.69,,11.03
0.56850,50.27,,11.02
0.56860,49.99,,11.19
0.56870,50.15,,10.88
0.56880,50.40,,11.03
0.56890,49.95,,11.02
0.56900,50.05,,10.88
0.56910,50.01,,10.88
0.56920,50.19,,11.02
0.56930,50.21,,11.19
0.56940,50.08,,11.02
0.56950,50.01,,11.03
0.56960,50.06,,11.02
0.56970,50.28,,11.03
0.56980,50.58,,11.02
0.56990,50.93,,11.03
0.57000,50.94,,11.02
0.57010,50.89,,11.18
0.57020,50.88,,11.19
0.57030,50.88,,11.13
0.57040,50.93,,11.08
0.57050,51.14,,11.18
0.57060,51.46,,11.35
0.57070,51.21,,11.02
0.57080,51.26,,11.03
0.57090,51.56,,11.18
0.57100,51.99,,11.03
0.57110,52.21,,11.33
0.57120,52.29,,11.33
0.57130,52.43,,11.19
0.57140,52.83,,11.18
0.57150,53.18,,11.19
0.57160,53.18,,11.18
0.57170,53.15,,11.13
0.57180,53.08,,11.07
0.57190,53.16,,11.24
0.57200,53.74,,11.44
0.57210,54.08,,11.33
0.57220,54.11,,11.35
0.57230,54.19,,11.33
0.57240,54.36,,11.03
0.57250,54.85,,11.18
0.57260,55.12,,11.35
0.57270,55.42,,11.33
0.57280,55.68,,11.51
0.57290,55.67,,11.50
0.57300,56.13,,11.35
0.57310,55.96,,11.33
0.57320,56.35,,11.33
0.57330,56.53,,11.19
0.57340,56.83,,11.33
0.57350,57.10,,11.35
0.57360,57.28,,11.44
0.57370,57.45,,11.40
0.57380,57.90,,11.33
0.57390,58.33,,11.51
0.57400,58.61,,11.33
0.57410,58.77,,11.33
0.57420,58.95,,11.40
0.57430,59.01,,11.44
0.57440,59.28,,11.51
0.57450,59.70,,11.50
0.57460,59.91,,11.51
0.57470,60.01,,11.50
0.57480,60.20,,11.51
0.57490,60.36,,11.50
0.57500,60.21,,11.51
0.57510,60.09,,11.50
0.57520,60.16,,11.33
0.57530,60.10,,11.51
0.57540,59.97,,11.50
0.57550,59.60,,11.51
0.57560,59.17,,11.39
0.57570,59.40,,11.45
0.57580,59.39,,11.50
0.57590,59.69,,11.68
0.57600,60.15,,11.66
0.57610,60.37,,11.78
0.57620,60.44,,11.57
0.57630,60.20,,11.66
0.57640,60.00,,11.51
0.57650,59.79,,11.39
0.57660,59.84,,11.29
0.57670,59.97,,11.50
0.57680,60.06,,11.51
0.57690,60.56,,11.50
0.57700,60.57,,11.68
0.57710,60.53,,11.61
0.57720,60.42,,11.55
0.57730,60.35,,11.51
0.57740,60.69,,11.72
0.57750,60.95,,11.79
0.57760,61.03,,11.83
0.57770,60.86,,11.68
0.57780,60.90,,11.72
0.57790,60.77,,11.62
0.57800,60.87,,11.50
0.57810,61.20,,11.51
0.57820,61.43,,11.50
0.57830,61.53,,11.61
0.57840,61.59,,11.79
0.57850,61.64,,11.83
0.57860,61.62,,11.79
0.57870,61.86,,11.66
0.57880,62.10,,11.51
0.57890,62.14,,11.66
0.57900,61.94,,11.68
0.57910,61.59,,11.66
0.57920,61.54,,11.72
0.57930,61.51,,11.79
0.57940,61.47,,11.83
0.57950,61.62,,11.68
0.57960,61.79,,11.72
0.57970,61.68,,11.79
0.57980,61.52,,11.66
0.57990,61.30,,11.85
0.58000,60.92,,11.72
0.58010,60.55,,11.79
0.58020,60.19,,11.83
0.58030,59.68,,11.61
0.58040,59.55,,11.57
0.58050,59.35,,11.83
0.58060,59.06,,11.85
0.58070,58.31,,12.01
0.58080,57.62,,11.85
0.58090,57.22,,11.83
0.58100,56.74,,11.74
0.58110,56.32,,11.72
0.58120,56.05,,11.72
0.58130,55.49,,11.85
0.58140,55.04,,12.01
0.58150,54.48,,11.91
0.58160,53.83,,12.07
0.58170,53.36,,11.91
0.58180,52.67,,11.83
0.58190,51.85,,11.68
0.58200,50.86,,11.66
0.58210,50.47,,11.85
0.58220,50.01,,11.95
0.58230,49.59,,12.07
0.58240,48.88,,12.28
0.58250,48.26,,12.13
0.58260,47.47,,12.03
0.58270,46.54,,11.83
0.58280,45.73,,11.68
0.58290,44.87,,11.66
0.58300,44.42,,11.91
0.58310,43.85,,12.07
0.58320,43.40,,12.07
0.58330,42.75,,12.22
0.58340,42.10,,12.19
0.58350,41.34,,12.09
0.58360,40.72,,11.95
0.58370,40.11,,11.68
0.58380,39.78,,11.83
0.58390,39.85,,12.03
0.58400,39.86,,12.19
0.58410,39.41,,12.41
0.58420,39.15,,12.32
0.58430,38.84,,12.07
0.58440,38.42,,11.85
0.58450,37.97,,11.89
0.58460,37.02,,12.03
0.58470,35.56,,11.95
0.58480,35.03,,11.91
0.58490,35.24,,12.13
0.58500,36.09,,12.41
0.58510,36.51,,12.26
0.58520,36.49,,12.13
0.58530,36.00,,12.03
0.58540,35.76,,12.13
0.58550,35.55,,12.09
0.58560,35.13,,12.19
0.58570,34.79,,12.22
0.58580,34.48,,12.07
0.58590,34.38,,12.16
0.58600,34.21,,12.01
0.58610,34.01,,12.09
0.58620,34.01,,12.13
0.58630,33.77,,12.01
0.58640,33.26,,12.22
0.58650,33.00,,12.19
0.58660,32.99,,12.03
0.58670,33.16,,12.01
0.58680,33.18,,11.91
0.58690,35.05,,12.32
0.58700,34.76,,12.41
0.58710,32.61,,12.19
0.58720,31.79,,12.19
0.58730,31.64,,12.16
0.58740,31.69,,12.07
0.58750,31.19,,12.22
0.58760,30.70,,12.01
0.58770,30.77,,11.91
0.58780,30.86,,12.32
0.58790,30.51,,12.22
0.58800,30.45,,12.38
0.58810,30.11,,12.28
0.58820,29.98,,12.13
0.58830,29.82,,11.83
0.58840,29.78,,11.85
0.58850,29.98,,12.01
0.58860,30.27,,12.22
0.58870,30.29,,12.44
0.58880,31.05,,12.54
0.58890,31.26,,12.38
0.58900,31.00,,12.22
0.58910,31.24,,12.19
0.58920,31.40,,12.07
0.58930,31.33,,11.97
0.58940,31.58,,12.01
0.58950,31.79,,12.22
0.58960,32.14,,12.38
0.58970,31.92,,12.41
0.58980,32.12,,12.38
0.58990,31.85,,12.22
0.59000,31.95,,12.01
0.59010,32.20,,11.97
0.59020,32.49,,12.07
0.59030,32.59,,12.19
0.59040,33.19,,12.28
0.59050,33.24,,12.44
0.59060,33.28,,12.28
0.59070,33.41,,12.38
0.59080,33.53,,12.22
0.59090,33.80,,12.07
0.59100,33.58,,12.03
0.59110,34.07,,12.13
0.59120,34.33,,12.19
0.59130,34.18,,12.41
0.59140,34.15,,12.26
0.59150,34.12,,12.28
0.59160,34.53,,12.19
0.59170,34.55,,12.03
0.59180,34.85,,12.07
0.59190,35.10,,12.03
0.59200,36.08,,12.07
0.59210,36.55,,12.28
0.59220,37.03,,12.32
0.59230,37.24,,12.44
0.59240,37.53,,12.28
0.59250,37.60,,12.38
0.59260,37.96,,12.22
0.59270,38.62,,12.01
0.59280,38.69,,12.09
0.59290,39.31,,12.13
0.59300,39.63,,12.22
0.59310,39.77,,12.19
0.59320,40.42,,12.19
0.59330,40.87,,12.28
0.59340,41.07,,12.32
0.59350,41.20,,12.16
0.59360,41.31,,12.07
0.59370,41.87,,12.22
0.59380,42.46,,12.01
0.59390,43.03,,12.22
0.59400,43.14,,12.19
0.59410,43.68,,12.34
0.59420,44.09,,12.26
0.59430,44.39,,12.19
0.59440,44.86,,12.22
0.59450,45.19,,12.19
0.59460,45.50,,12.22
0.59470,45.69,,12.01
0.59480,45.95,,12.22
0.59490,46.50,,12.19
0.59500,47.16,,12.22
0.59510,47.58,,12.19
0.59520,47.77,,12.38
0.59530,47.83,,12.22
0.59540,48.29,,12.07
0.59550,48.77,,11.97
0.59560,49.22,,12.01
0.59570,49.70,,12.03
0.59580,50.33,,12.19
0.59590,50.94,,12.28
0.59600,50.93,,12.32
0.59610,51.20,,12.41
0.59620,51.80,,12.19
0.59630,52.04,,12.07
0.59640,51.99,,12.16
0.59650,52.63,,12.01
0.59660,52.77,,12.03
0.59670,52.75,,12.19
0.59680,52.90,,12.22
0.59690,52.69,,12.57
0.59700,52.81,,12.28
0.59710,52.30,,12.32
0.59720,52.51,,12.07
0.59730,52.64,,12.16
0.59740,53.10,,12.01
0.59750,53.19,,12.22
0.59760,53.05,,12.19
0.59770,53.40,,12.22
0.59780,53.52,,12.26
0.59790,53.61,,12.16
0.59800,53.73,,12.19
0.59810,53.95,,12.03
0.59820,53.99,,12.01
0.59830,54.27,,12.13
0.59840,54.30,,12.16
0.59850,54.50,,12.19
0.59860,55.03,,12.16
0.59870,55.60,,12.38
0.59880,55.74,,12.34
0.59890,55.77,,12.26
0.59900,55.37,,12.22
0.59910,55.43,,12.01
0.59920,55.56,,11.89
0.59930,55.83,,11.97
0.59940,55.99,,12.01
0.59950,56.32,,12.16
0.59960,56.67,,12.32
0.59970,57.07,,12.54
0.59980,56.81,,12.57
0.59990,56.29,,12.22
0.60000,56.17,,12.13
0.60010,56.30,,11.91
0.60020,56.50,,11.66
0.60030,56.59,,11.83
0.60040,56.56,,12.03
