桩号(km),左高程(mm),右高程(mm),速度(m/s)
0.01110,56.00,,5.16
0.01120,56.44,,5.09
0.01130,56.81,,5.23
0.01140,57.13,,5.22
0.01150,57.40,,5.37
0.01160,57.63,,5.37
0.01170,57.85,,5.44
0.01180,57.96,,5.16
0.01190,57.84,,5.29
0.01200,57.45,,5.51
0.01210,56.87,,5.44
0.01220,56.09,,5.29
0.01230,55.20,,5.37
0.01240,54.41,,5.59
0.01250,53.86,,5.52
0.01260,53.46,,5.44
0.01270,53.14,,5.59
0.01280,53.01,,5.59
0.01290,53.13,,5.59
0.01300,53.31,,5.37
0.01310,53.36,,5.67
0.01320,53.29,,5.67
0.01330,53.18,,5.67
0.01340,53.08,,5.52
0.01350,52.86,,5.59
0.01360,52.57,,5.75
0.01370,52.21,,5.75
0.01380,51.74,,5.67
0.01390,51.19,,5.67
0.01400,50.59,,5.83
0.01410,49.91,,5.75
0.01420,49.20,,5.75
0.01430,48.57,,5.84
0.01440,48.00,,5.79
0.01450,47.48,,5.88
0.01460,47.15,,5.83
0.01470,47.07,,6.02
0.01480,47.21,,5.79
0.01490,47.11,,5.80
0.01500,43.54,,5.92
0.01510,44.45,,6.10
0.01520,45.57,,5.84
0.01530,46.82,,5.83
0.01540,48.17,,6.02
0.01550,49.62,,6.10
0.01560,51.16,,5.84
0.01570,52.66,,5.67
0.01580,53.96,,6.16
0.01590,55.10,,6.34
0.01600,56.19,,6.05
0.01610,57.18,,5.80
0.01620,57.99,,5.92
0.01630,58.47,,6.11
0.01640,58.67,,6.19
0.01650,58.67,,6.11
0.01660,58.58,,6.19
0.01670,58.40,,6.11
0.01680,58.07,,6.19
0.01690,57.60,,6.20
0.01700,57.02,,6.10
0.01710,56.38,,6.24
0.01720,55.72,,6.25
0.01730,55.05,,6.34
0.01740,54.35,,6.25
0.01750,53.60,,6.29
0.01760,52.90,,6.30
0.01770,52.26,,6.24
0.01780,51.60,,6.16
0.01790,50.85,,6.29
0.01800,50.13,,6.54
0.01810,49.56,,6.56
0.01820,49.18,,6.24
0.01830,49.07,,6.16
0.01840,49.13,,6.29
0.01850,49.34,,6.40
0.01860,49.70,,6.54
0.01870,50.23,,6.51
0.01880,50.93,,6.44
0.01890,51.83,,6.30
0.01900,52.81,,6.39
0.01910,53.75,,6.49
0.01920,54.64,,6.51
0.01930,55.48,,6.49
0.01940,56.31,,6.30
0.01950,57.13,,6.44
0.01960,57.88,,6.56
0.01970,58.55,,6.60
0.01980,59.12,,6.56
0.01990,59.58,,6.44
0.02000,59.94,,6.49
0.02010,60.18,,6.51
0.02020,60.30,,6.71
0.02030,60.32,,6.62
0.02040,60.19,,6.60
0.02050,59.86,,6.46
0.02060,59.33,,6.54
0.02070,58.63,,6.62
0.02080,57.89,,6.82
0.02090,57.14,,6.73
0.02100,56.34,,6.49
0.02110,55.44,,6.49
0.02120,54.53,,6.73
0.02130,53.65,,6.88
0.02140,52.82,,6.79
0.02150,51.98,,6.71
0.02160,51.15,,6.62
0.02170,50.40,,6.71
0.02180,49.73,,6.73
0.02190,49.16,,6.82
0.02200,48.66,,6.82
0.02210,48.18,,6.73
0.02220,47.73,,6.65
0.02230,47.33,,6.67
0.02240,47.01,,6.82
0.02250,46.81,,6.85
0.02260,46.69,,6.82
0.02270,44.70,,6.73
0.02280,44.20,,6.76
0.02290,44.21,,6.79
0.02300,44.29,,6.71
0.02310,44.39,,6.82
0.02320,44.50,,6.85
0.02330,44.60,,6.94
0.02340,44.72,,6.85
0.02350,44.79,,6.71
0.02360,44.78,,6.73
0.02370,44.72,,6.94
0.02380,44.66,,6.85
0.02390,44.60,,6.82
0.02400,44.49,,6.88
0.02410,44.35,,6.79
0.02420,44.22,,6.94
0.02430,44.07,,6.85
0.02440,43.92,,6.88
0.02450,43.77,,6.85
0.02460,43.59,,6.76
0.02470,43.39,,6.91
0.02480,43.20,,7.00
0.02490,43.09,,6.97
0.02500,43.02,,6.82
0.02510,42.96,,6.82
0.02520,42.85,,6.91
0.02530,42.76,,6.94
0.02540,42.70,,6.91
0.02550,42.73,,6.94
0.02560,42.80,,6.97
0.02570,42.89,,6.94
0.02580,42.90,,6.85
0.02590,42.85,,6.94
0.02600,42.78,,6.94
0.02610,42.74,,6.97
0.02620,42.76,,6.94
0.02630,42.77,,6.97
0.02640,42.79,,6.94
0.02650,42.84,,6.97
0.02660,42.94,,6.82
0.02670,43.10,,6.97
0.02680,43.40,,7.06
0.02690,43.79,,6.97
0.02700,44.22,,7.00
0.02710,44.72,,6.94
0.02720,45.30,,6.97
0.02730,45.95,,6.94
0.02740,46.58,,7.03
0.02750,47.16,,7.06
0.02760,47.73,,7.09
0.02770,48.32,,6.94
0.02780,48.91,,6.91
0.02790,49.46,,7.00
0.02800,49.93,,7.22
0.02810,50.34,,7.19
0.02820,50.73,,7.06
0.02830,51.09,,6.79
0.02840,51.38,,6.88
0.02850,51.64,,7.15
0.02860,51.88,,7.25
0.02870,52.11,,7.22
0.02880,52.26,,7.06
0.02890,52.36,,6.97
0.02900,52.45,,7.00
0.02910,52.55,,7.12
0.02920,52.66,,7.22
0.02930,52.73,,7.19
0.02940,52.77,,6.97
0.02950,52.80,,7.12
0.02960,52.81,,7.03
0.02970,52.81,,7.19
0.02980,52.83,,7.09
0.02990,52.86,,7.06
0.03000,52.92,,7.15
0.03010,52.99,,7.19
0.03020,53.11,,7.12
0.03030,53.27,,7.22
0.03040,53.47,,7.19
0.03050,53.71,,7.22
0.03060,53.96,,7.06
0.03070,54.20,,7.15
0.03080,54.42,,7.19
0.03090,54.68,,7.15
0.03100,54.98,,7.32
0.03110,55.33,,7.19
0.03120,55.67,,7.09
0.03130,56.02,,7.06
0.03140,56.38,,7.22
0.03150,56.79,,7.19
0.03160,57.19,,7.29
0.03170,57.60,,7.12
0.03180,57.99,,7.09
0.03190,58.42,,7.32
0.03200,58.85,,7.22
0.03210,59.30,,7.25
0.03220,59.69,,7.25
0.03230,59.99,,7.22
0.03240,60.21,,7.19
0.03250,60.38,,7.22
0.03260,60.54,,7.19
0.03270,60.64,,7.22
0.03280,60.70,,7.32
0.03290,60.78,,7.35
0.03300,60.85,,7.19
0.03310,60.89,,7.19
0.03320,60.87,,7.22
0.03330,60.85,,7.25
0.03340,60.81,,7.35
0.03350,60.78,,7.25
0.03360,60.75,,7.22
0.03370,60.78,,7.19
0.03380,60.83,,7.35
0.03390,60.89,,7.38
0.03400,60.92,,7.42
0.03410,60.95,,7.25
0.03420,61.02,,7.19
0.03430,61.14,,7.29
0.03440,61.27,,7.32
0.03450,61.34,,7.35
0.03460,61.38,,7.25
0.03470,61.43,,7.29
0.03480,61.49,,7.32
0.03490,61.52,,7.35
0.03500,61.53,,7.32
0.03510,61.50,,7.32
0.03520,61.46,,7.35
0.03530,61.41,,7.32
0.03540,61.32,,7.29
0.03550,61.12,,7.38
0.03560,60.88,,7.35
0.03570,60.61,,7.32
0.03580,60.33,,7.35
0.03590,60.01,,7.38
0.03600,59.62,,7.35
0.03610,59.19,,7.25
0.03620,58.75,,7.38
0.03630,58.31,,7.42
0.03640,57.89,,7.38
0.03650,57.48,,7.29
0.03660,57.06,,7.32
0.03670,56.63,,7.56
0.03680,56.22,,7.45
0.03690,55.79,,7.35
0.03700,55.30,,7.25
0.03710,54.69,,7.25
0.03720,54.02,,7.42
0.03730,53.38,,7.59
0.03740,52.78,,7.35
0.03750,52.14,,7.38
0.03760,51.47,,7.29
0.03770,50.81,,7.45
0.03780,50.17,,7.49
0.03790,49.55,,7.45
0.03800,48.89,,7.35
0.03810,48.23,,7.32
0.03820,47.59,,7.45
0.03830,47.01,,7.42
0.03840,46.49,,7.38
0.03850,46.02,,7.35
0.03860,45.56,,7.45
0.03870,45.10,,7.49
0.03880,44.64,,7.45
0.03890,44.15,,7.42
0.03900,43.63,,7.38
0.03910,43.11,,7.45
0.03920,42.58,,7.35
0.03930,42.02,,7.38
0.03940,41.42,,7.42
0.03950,40.74,,7.45
0.03960,40.01,,7.42
0.03970,39.25,,7.38
0.03980,38.52,,7.49
0.03990,37.82,,7.45
0.04000,37.12,,7.49
0.04010,36.42,,7.38
0.04020,35.66,,7.38
0.04030,34.88,,7.49
0.04040,34.09,,7.45
0.04050,33.31,,7.49
0.04060,32.50,,7.38
0.04070,31.73,,7.29
0.04080,31.05,,7.45
0.04090,30.48,,7.56
0.04100,29.98,,7.52
0.04110,29.51,,7.38
0.04120,29.07,,7.35
0.04130,28.68,,7.38
0.04140,28.39,,7.49
0.04150,28.23,,7.52
0.04160,28.16,,7.35
0.04170,28.16,,7.38
0.04180,28.20,,7.35
0.04190,28.30,,7.52
0.04200,28.51,,7.42
0.04210,28.86,,7.32
0.04220,29.30,,7.38
0.04230,29.80,,7.49
0.04240,30.33,,7.45
0.04250,30.91,,7.35
0.04260,31.50,,7.32
0.04270,32.11,,7.35
0.04280,32.75,,7.45
0.04290,33.39,,7.42
0.04300,34.04,,7.32
0.04310,34.71,,7.32
0.04320,35.40,,7.35
0.04330,36.16,,7.52
0.04340,37.04,,7.42
0.04350,37.99,,7.25
0.04360,38.91,,7.22
0.04370,39.79,,7.38
0.04380,40.67,,7.42
0.04390,41.55,,7.45
0.04400,42.42,,7.29
0.04410,43.25,,7.19
0.04420,44.01,,7.25
0.04430,44.71,,7.35
0.04440,45.35,,7.38
0.04450,45.93,,7.35
0.04460,46.46,,7.38
0.04470,46.98,,7.35
0.04480,47.45,,7.25
0.04490,47.86,,7.09
0.04500,48.17,,7.32
0.04510,48.43,,7.38
0.04520,48.69,,7.49
0.04530,49.00,,7.38
0.04540,49.35,,7.22
0.04550,49.68,,7.06
0.04560,50.03,,7.22
0.04570,50.43,,7.45
0.04580,50.90,,7.35
0.04590,51.40,,7.32
0.04600,51.91,,7.15
0.04610,52.45,,7.25
0.04620,53.04,,7.32
0.04630,53.66,,7.29
0.04640,54.32,,7.25
0.04650,54.92,,7.22
0.04660,55.41,,7.12
0.04670,55.90,,7.15
0.04680,56.40,,7.25
0.04690,56.94,,7.29
0.04700,57.50,,7.38
0.04710,58.06,,7.25
0.04720,58.58,,7.09
0.04730,59.06,,7.19
0.04740,59.49,,7.22
0.04750,59.87,,7.25
0.04760,60.17,,7.22
0.04770,60.41,,7.19
0.04780,60.63,,7.22
0.04790,60.78,,7.25
0.04800,60.89,,7.22
0.04810,60.94,,7.19
0.04820,60.92,,7.19
0.04830,60.84,,7.09
0.04840,60.73,,7.25
0.04850,60.57,,7.22
0.04860,60.39,,7.19
0.04870,60.15,,7.15
0.04880,59.87,,7.32
0.04890,59.56,,7.22
0.04900,59.18,,7.12
0.04910,58.69,,7.12
0.04920,58.15,,7.09
0.04930,57.53,,7.25
0.04940,56.91,,7.35
0.04950,56.29,,7.25
0.04960,55.61,,6.97
0.04970,54.84,,7.06
0.04980,54.06,,7.22
0.04990,53.28,,7.32
0.05000,52.51,,7.22
0.05010,51.73,,7.06
0.05020,50.95,,7.06
0.05030,50.19,,7.22
0.05040,49.50,,7.19
0.05050,48.89,,7.15
0.05060,48.36,,7.06
0.05070,47.88,,7.03
0.05080,47.47,,7.25
0.05090,47.16,,7.29
0.05100,46.93,,7.06
0.05110,46.75,,7.06
0.05120,46.58,,7.09
0.05130,46.47,,7.06
0.05140,46.45,,7.09
0.05150,46.50,,7.06
0.05160,46.61,,7.09
0.05170,46.80,,7.19
0.05180,47.07,,7.15
0.05190,47.40,,7.06
0.05200,47.75,,6.97
0.05210,48.12,,7.00
0.05220,48.48,,7.06
0.05230,48.89,,7.15
0.05240,49.35,,7.12
0.05250,49.84,,7.09
0.05260,50.34,,7.06
0.05270,50.81,,7.03
0.05280,51.26,,7.00
0.05290,51.72,,7.03
0.05300,52.18,,7.00
0.05310,52.63,,7.12
0.05320,53.09,,7.15
0.05330,53.56,,7.19
0.05340,54.01,,7.03
0.05350,54.42,,7.00
0.05360,54.79,,7.03
0.05370,55.12,,7.12
0.05380,55.41,,7.03
0.05390,55.64,,7.06
0.05400,55.85,,7.15
0.05410,56.03,,7.19
0.05420,56.22,,7.25
0.05430,56.39,,7.15
0.05440,56.50,,7.06
0.05450,56.51,,7.09
0.05460,56.41,,7.19
0.05470,56.22,,7.22
0.05480,56.03,,7.25
0.05490,55.88,,7.29
0.05500,55.71,,7.06
0.05510,55.49,,7.22
0.05520,55.28,,7.32
0.05530,55.06,,7.19
0.05540,54.85,,7.22
0.05550,54.63,,7.25
0.05560,54.41,,7.15
0.05570,54.19,,7.25
0.05580,54.00,,7.29
0.05590,53.83,,7.19
0.05600,53.72,,7.22
0.05610,53.66,,7.32
0.05620,53.65,,7.32
0.05630,53.70,,7.35
0.05640,53.77,,7.32
0.05650,53.82,,7.22
0.05660,53.80,,7.32
0.05670,53.74,,7.35
0.05680,53.62,,7.38
0.05690,53.43,,7.29
0.05700,53.15,,7.25
0.05710,52.81,,7.22
0.05720,52.39,,7.32
0.05730,51.91,,7.38
0.05740,51.43,,7.49
0.05750,50.98,,7.38
0.05760,50.55,,7.29
0.05770,50.04,,7.19
0.05780,49.46,,7.35
0.05790,48.81,,7.52
0.05800,48.20,,7.56
0.05810,47.59,,7.45
0.05820,46.97,,7.38
0.05830,46.31,,7.29
0.05840,45.60,,7.32
0.05850,44.87,,7.42
0.05860,44.15,,7.45
0.05870,43.47,,7.42
0.05880,42.86,,7.45
0.05890,42.34,,7.49
0.05900,41.86,,7.45
0.05910,41.46,,7.42
0.05920,41.05,,7.45
0.05930,40.68,,7.52
0.05940,40.32,,7.71
0.05950,40.01,,7.52
0.05960,39.74,,7.49
0.05970,39.50,,7.32
0.05980,39.30,,7.35
0.05990,39.13,,7.59
0.06000,39.04,,7.64
0.06010,39.04,,7.59
0.06020,39.14,,7.38
0.06030,40.77,,7.42
0.06040,41.89,,7.52
0.06050,42.07,,7.71
0.06060,42.34,,7.66
0.06070,42.71,,7.49
0.06080,43.13,,7.45
0.06090,43.51,,7.49
0.06100,43.79,,7.52
0.06110,44.04,,7.64
0.06120,44.30,,7.59
0.06130,44.61,,7.59
0.06140,44.90,,7.64
0.06150,45.21,,7.52
0.06160,45.53,,7.56
0.06170,45.86,,7.59
0.06180,46.18,,7.64
0.06190,46.49,,7.59
0.06200,46.81,,7.71
0.06210,47.10,,7.66
0.06220,47.40,,7.59
0.06230,47.68,,7.64
0.06240,47.98,,7.59
0.06250,48.25,,7.64
0.06260,48.48,,7.59
0.06270,48.66,,7.79
0.06280,48.81,,7.74
0.06290,48.94,,7.64
0.06300,49.06,,7.52
0.06310,49.14,,7.71
0.06320,49.17,,7.74
0.06330,49.20,,7.89
0.06340,49.17,,7.64
0.06350,49.08,,7.52
0.06360,48.88,,7.64
0.06370,48.63,,7.81
0.06380,48.35,,7.94
0.06390,48.04,,7.74
0.06400,47.68,,7.64
0.06410,47.25,,7.59
0.06420,46.78,,7.66
0.06430,46.28,,7.86
0.06440,45.79,,7.74
0.06450,45.32,,7.71
0.06460,44.86,,7.59
0.06470,44.42,,7.71
0.06480,44.07,,7.89
0.06490,43.81,,7.79
0.06500,43.61,,7.66
0.06510,43.43,,7.56
0.06520,43.29,,7.74
0.06530,43.26,,7.74
0.06540,43.34,,7.71
0.06550,43.48,,7.66
0.06560,43.66,,7.79
0.06570,43.89,,7.74
0.06580,44.20,,7.64
0.06590,44.59,,7.66
0.06600,45.00,,7.64
0.06610,45.44,,7.81
0.06620,45.92,,7.74
0.06630,46.44,,7.64
0.06640,46.96,,7.66
0.06650,47.49,,7.56
0.06660,48.01,,7.74
0.06670,48.55,,7.71
0.06680,49.11,,7.66
0.06690,49.68,,7.64
0.06700,50.20,,7.66
0.06710,50.71,,7.71
0.06720,51.27,,7.74
0.06730,51.87,,7.66
0.06740,52.44,,7.56
0.06750,52.97,,7.59
0.06760,53.45,,7.64
0.06770,53.90,,7.74
0.06780,54.30,,7.64
0.06790,54.61,,7.59
0.06800,54.82,,7.49
0.06810,54.94,,7.74
0.06820,55.03,,7.66
0.06830,55.06,,7.64
0.06840,55.04,,7.66
0.06850,54.97,,7.64
0.06860,54.88,,7.59
0.06870,54.76,,7.64
0.06880,54.59,,7.59
0.06890,54.39,,7.64
0.06900,54.14,,7.66
0.06910,53.85,,7.71
0.06920,53.53,,7.59
0.06930,53.21,,7.59
0.06940,52.92,,7.56
0.06950,52.69,,7.59
0.06960,52.50,,7.64
0.06970,52.31,,7.66
0.06980,52.10,,7.64
0.06990,51.92,,7.59
0.07000,51.83,,7.56
0.07010,51.82,,7.66
0.07020,51.85,,7.52
0.07030,51.85,,7.56
0.07040,51.82,,7.52
0.07050,51.81,,7.56
0.07060,51.86,,7.59
0.07070,51.95,,7.64
0.07080,52.07,,7.59
0.07090,52.20,,7.56
0.07100,52.35,,7.45
0.07110,52.52,,7.56
0.07120,52.69,,7.59
0.07130,52.82,,7.66
0.07140,52.94,,7.56
0.07150,53.07,,7.38
0.07160,53.21,,7.42
0.07170,53.34,,7.59
0.07180,53.48,,7.64
0.07190,53.67,,7.59
0.07200,53.90,,7.49
0.07210,54.11,,7.52
0.07220,54.29,,7.38
0.07230,54.41,,7.49
0.07240,54.49,,7.59
0.07250,54.54,,7.64
0.07260,54.59,,7.59
0.07270,54.63,,7.35
0.07280,54.63,,7.32
0.07290,54.56,,7.42
0.07300,54.47,,7.52
0.07310,54.35,,7.71
0.07320,54.22,,7.52
0.07330,54.06,,7.38
0.07340,53.87,,7.35
0.07350,53.71,,7.52
0.07360,53.60,,7.56
0.07370,53.52,,7.45
0.07380,53.46,,7.29
0.07390,53.43,,7.45
0.07400,53.39,,7.49
0.07410,53.35,,7.52
0.07420,53.30,,7.45
0.07430,53.35,,7.42
0.07440,53.54,,7.32
0.07450,53.87,,7.35
0.07460,54.27,,7.45
0.07470,54.68,,7.49
0.07480,55.08,,7.45
0.07490,55.58,,7.22
0.07500,56.25,,7.32
0.07510,57.07,,7.42
0.07520,57.92,,7.38
0.07530,58.76,,7.32
0.07540,59.61,,7.29
0.07550,60.55,,7.25
0.07560,61.54,,7.35
0.07570,62.59,,7.38
0.07580,63.65,,7.29
0.07590,64.66,,7.32
0.07600,65.63,,7.35
0.07610,66.60,,7.32
0.07620,67.69,,7.19
0.07630,68.80,,7.22
0.07640,69.85,,7.32
0.07650,70.86,,7.22
0.07660,71.87,,7.32
0.07670,72.90,,7.22
0.07680,73.90,,7.25
0.07690,74.76,,7.42
0.07700,75.42,,7.59
0.07710,76.00,,7.22
0.07720,76.40,,6.71
0.07730,76.40,,6.94
0.07740,76.03,,7.49
0.07750,75.55,,7.74
0.07760,75.02,,7.64
0.07770,74.34,,6.94
0.07780,73.41,,6.79
0.07790,72.31,,7.25
0.07800,71.23,,7.56
0.07810,70.18,,7.52
0.07820,69.00,,7.06
0.07830,67.61,,6.97
0.07840,66.07,,7.06
0.07850,64.59,,7.49
0.07860,63.12,,7.45
0.07870,61.65,,7.15
0.07880,60.20,,7.06
0.07890,58.82,,7.15
0.07900,57.50,,7.19
0.07910,56.32,,7.22
0.07920,55.25,,7.06
0.07930,54.24,,7.19
0.07940,53.34,,7.29
0.07950,52.59,,7.25
0.07960,52.00,,7.09
0.07970,51.58,,6.82
0.07980,51.37,,6.97
0.07990,51.35,,7.12
0.08000,51.48,,7.15
0.08010,51.71,,7.19
0.08020,52.07,,6.94
0.08030,52.56,,6.85
0.08040,53.13,,6.88
0.08050,53.75,,6.97
0.08060,54.35,,7.00
0.08070,54.94,,7.03
0.08080,55.46,,6.88
0.08090,55.92,,6.79
0.08100,56.37,,6.82
0.08110,56.82,,6.91
0.08120,57.22,,6.82
0.08130,57.55,,6.94
0.08140,57.82,,6.73
0.08150,58.05,,6.60
0.08160,58.23,,6.85
0.08170,58.35,,6.82
0.08180,58.42,,6.79
0.08190,58.46,,6.71
0.08200,58.45,,6.56
0.08210,58.38,,6.60
0.08220,58.20,,6.62
0.08230,57.93,,6.82
0.08240,57.64,,6.65
0.08250,57.36,,6.46
0.08260,57.01,,6.49
0.08270,56.56,,6.51
0.08280,56.08,,6.60
0.08290,55.53,,6.40
0.08300,54.87,,6.39
0.08310,54.18,,6.51
0.08320,53.54,,6.44
0.08330,52.87,,6.34
0.08340,52.16,,6.30
0.08350,51.42,,6.34
0.08360,50.76,,6.40
0.08370,50.20,,6.24
0.08380,49.66,,6.11
0.08390,49.19,,6.19
0.08400,48.82,,6.30
0.08410,48.50,,6.29
0.08420,48.18,,5.93
0.08430,47.90,,6.10
0.08440,47.65,,6.01
0.08450,47.44,,6.11
0.08460,47.29,,6.01
0.08470,47.21,,5.93
0.08480,47.21,,5.96
0.08490,47.27,,5.97
0.08500,47.39,,5.83
0.08510,47.56,,5.84
0.08520,47.75,,5.75
0.08530,47.90,,5.67
0.08540,48.01,,5.84
0.08550,48.08,,5.75
0.08560,48.12,,5.71
0.08570,48.11,,5.55
0.08580,48.06,,5.67
0.08590,48.01,,5.59
0.08600,47.89,,5.59
0.08610,47.74,,5.59
0.08620,47.61,,5.44
0.08630,47.47,,5.44
0.08640,47.28,,5.44
0.08650,47.02,,5.44
0.08660,46.79,,5.29
0.08670,46.55,,5.37
0.08680,46.27,,5.37
0.08690,45.98,,5.29
0.08700,45.66,,5.09
0.08710,45.32,,5.22
0.08720,44.98,,5.23
0.08730,44.61,,5.03
0.08740,44.24,,5.09
0.08750,43.89,,5.16
0.08760,43.53,,4.96
0.08770,43.19,,4.97
0.08780,42.91,,4.90
0.08790,42.68,,4.97
0.08800,42.51,,4.84
0.08810,42.41,,4.79
0.08820,42.45,,4.73
0.08830,42.63,,4.73
0.08840,42.97,,4.73
0.08850,43.50,,4.62
0.08860,44.19,,4.52
0.08870,44.73,,4.62
0.08880,45.17,,4.47
0.08890,45.62,,4.46
0.08900,46.01,,4.28
0.08910,46.34,,4.41
0.08920,46.62,,4.33
0.08930,46.94,,4.24
0.08940,47.35,,4.22
0.08950,47.74,,4.15
0.08960,48.09,,4.14
0.08970,48.42,,4.06
0.08980,48.64,,4.01
0.08990,48.75,,4.15
0.09000,48.68,,4.01
0.09010,48.36,,3.98
0.09020,47.83,,3.97
0.09030,47.02,,3.83
0.09040,45.96,,3.98
0.09050,44.80,,3.93
0.09060,43.54,,3.80
0.09070,42.33,,3.89
0.09080,41.24,,3.80
0.09090,40.29,,3.78
0.09100,39.59,,3.80
0.09110,39.18,,3.68
0.09120,39.24,,3.69
0.09130,39.70,,3.59
0.09140,40.62,,3.64
0.09150,41.98,,3.53
0.09160,43.60,,3.51
0.09170,45.30,,3.50
0.09180,47.05,,3.42
0.09190,48.79,,3.38
0.09200,50.37,,3.42
0.09210,51.73,,3.25
0.09220,52.85,,3.31
0.09230,53.79,,3.25
0.09240,54.55,,3.22
0.09250,55.16,,3.08
0.09260,55.70,,3.12
0.09270,56.19,,3.03
0.09280,56.56,,2.96
0.09290,56.90,,3.03
0.09300,57.18,,2.74
0.09310,57.47,,2.78
0.09320,57.83,,2.89
0.09330,58.32,,2.55
0.09340,58.74,,2.58
0.09350,59.02,,2.58
0.09360,59.25,,2.39
0.09370,59.52,,2.37
0.09380,59.85,,2.28
0.09390,60.09,,2.19
0.09400,60.14,,2.10
0.09410,60.03,,2.00
0.09420,59.83,,1.93
0.09430,59.59,,1.81
0.09440,59.37,,1.71
0.09450,59.14,,1.60
0.09460,58.58,,1.48
0.09470,57.78,,1.38
0.09480,57.24,,1.28
0.09490,56.18,,1.17
0.09500,55.07,,1.05
0.09510,54.80,,0.93
0.09520,55.27,,0.78
0.09530,55.03,,0.63
0.09540,54.50,,0.41
0.09550,51.92,,0.01
0.09560,49.80,,0.23
0.09570,51.53,,0.43
0.09580,55.60,,0.68
0.09590,59.35,,0.90
0.09600,60.90,,1.06
0.09610,60.39,,1.22
0.09620,58.80,,1.35
0.09630,56.39,,1.47
0.09640,53.64,,1.58
0.09650,51.26,,1.68
0.09660,49.59,,1.77
0.09670,48.52,,1.87
0.09680,48.06,,1.93
0.09690,48.08,,2.00
0.09700,48.44,,2.06
0.09710,49.12,,2.13
0.09720,50.02,,2.19
0.09730,50.99,,2.22
0.09740,51.85,,2.31
0.09750,52.53,,2.35
0.09760,52.95,,2.41
0.09770,53.08,,2.47
0.09780,52.98,,2.47
0.09790,52.76,,2.56
0.09800,52.46,,2.58
0.09810,52.15,,2.65
0.09820,51.79,,2.65
0.09830,51.40,,2.68
0.09840,51.22,,2.72
0.09850,52.16,,2.76
0.09860,52.02,,2.79
0.09870,52.10,,2.78
0.09880,52.37,,2.85
0.09890,52.76,,2.86
0.09900,53.24,,2.92
0.09910,53.83,,2.90
0.09920,54.40,,2.96
0.09930,56.63,,2.98
0.09940,57.94,,2.99
