桩号(km),左高程(mm),右高程(mm),速度(m/s)
0.00000,44.10,,0.53
0.00010,46.37,,0.73
0.00020,46.86,,0.93
0.00030,46.85,,1.08
0.00040,47.16,,1.23
0.00050,47.93,,1.35
0.00060,49.06,,1.46
0.00070,50.53,,1.57
0.00080,51.76,,1.66
0.00090,52.29,,1.73
0.00100,52.31,,1.83
0.00110,52.25,,1.88
0.00120,52.37,,1.96
0.00130,52.73,,1.99
0.00140,47.43,,2.08
0.00150,46.72,,2.12
0.00160,45.75,,2.17
0.00170,44.43,,2.27
0.00180,43.54,,2.27
0.00190,42.27,,2.35
0.00200,40.77,,2.47
0.00210,39.43,,2.42
0.00220,38.37,,2.55
0.00230,37.55,,2.58
0.00240,36.89,,2.58
0.00250,36.98,,2.72
0.00260,47.50,,2.72
0.00270,48.73,,2.76
0.00280,50.37,,2.81
0.00290,52.16,,2.80
0.00300,53.86,,2.89
0.00310,55.15,,2.94
0.00320,55.92,,3.01
0.00330,56.05,,3.00
0.00340,55.37,,3.10
0.00350,53.77,,3.10
0.00360,51.33,,3.18
0.00370,48.56,,3.22
0.00380,45.83,,3.31
0.00390,43.57,,3.35
0.00400,41.91,,3.33
0.00410,41.09,,3.37
0.00420,41.08,,3.47
0.00430,41.69,,3.45
0.00440,42.77,,3.35
0.00450,44.09,,3.55
0.00460,45.59,,3.59
0.00470,47.31,,3.55
0.00480,49.09,,3.59
0.00490,50.84,,3.71
0.00500,52.44,,3.63
0.00510,53.68,,3.69
0.00520,54.48,,3.78
0.00530,54.85,,3.76
0.00540,54.67,,3.71
0.00550,49.65,,3.98
0.00560,43.88,,3.97
0.00570,42.92,,3.83
0.00580,42.04,,3.89
0.00590,41.23,,4.02
0.00600,40.42,,4.02
0.00610,39.68,,3.93
0.00620,39.05,,4.11
0.00630,38.65,,4.09
0.00640,38.50,,4.06
0.00650,38.46,,4.14
0.00660,38.48,,4.24
0.00670,38.50,,4.18
0.00680,38.50,,4.15
0.00690,38.62,,4.22
0.00700,38.97,,4.19
0.00710,39.48,,4.28
0.00720,39.92,,4.36
0.00730,40.29,,4.33
0.00740,40.78,,4.22
0.00750,41.21,,4.47
0.00760,41.60,,4.36
0.00770,42.01,,4.33
0.00780,42.44,,4.46
0.00790,43.01,,4.42
0.00800,43.64,,4.42
0.00810,49.67,,4.46
0.00820,56.10,,4.47
0.00830,56.72,,4.51
0.00840,57.30,,4.57
0.00850,57.82,,4.56
0.00860,58.16,,4.37
0.00870,58.19,,4.67
0.00880,57.88,,4.73
0.00890,57.32,,4.67
0.00900,56.60,,4.63
0.00910,55.89,,4.52
0.00920,55.04,,4.56
0.00930,54.20,,4.85
0.00940,53.58,,4.90
0.00950,53.04,,4.85
0.00960,52.49,,4.73
0.00970,51.99,,4.79
0.00980,51.34,,4.73
0.00990,54.68,,4.79
0.01000,54.92,,5.16
0.01010,54.16,,5.09
0.01020,53.69,,4.79
0.01030,53.46,,4.78
0.01040,53.43,,5.09
0.01050,53.57,,5.16
0.01060,53.87,,4.97
0.01070,54.29,,5.09
0.01080,54.72,,5.03
0.01090,55.13,,5.09
0.01100,55.54,,5.23
