桩号(km),经度,纬度,有效性
0.523,105.733974,33.733438,A
0.533,105.734022,33.733445,A
0.543,105.734104,33.733458,A
0.553,105.734104,33.733458,A
0.563,105.734326,33.733483,A
0.573,105.734476,33.733498,A
0.583,105.734569,33.733509,A
0.593,105.734639,33.733517,A
0.603,105.734745,33.733531,A
0.613,105.734828,33.733539,A
0.623,105.735005,33.733557,A
0.633,105.735041,33.733561,A
0.643,105.735131,33.733570,A
0.653,105.735304,33.733586,A
0.663,105.735386,33.733605,A
0.673,105.735487,33.733618,A
0.683,105.735602,33.733618,A
0.693,105.735700,33.733614,A
0.703,105.735788,33.733608,A
0.713,105.735865,33.733600,A
0.723,105.735999,33.733596,A
0.733,105.736142,33.733602,A
0.743,105.736228,33.733606,A
0.753,105.736319,33.733610,A
0.763,105.736319,33.733610,A
0.773,105.736539,33.733648,A
0.783,105.736545,33.733649,A
0.793,105.736545,33.733649,A
0.803,105.736870,33.733718,A
0.813,105.736942,33.733723,A
0.823,105.737005,33.733726,A
0.833,105.737126,33.733733,A
0.843,105.737126,33.733733,A
0.853,105.737379,33.733759,A
0.863,105.737474,33.733772,A
0.873,105.737598,33.733788,A
0.883,105.737668,33.733798,A
0.893,105.737829,33.733822,A
0.903,105.737859,33.733826,A
0.913,105.738014,33.733846,A
0.923,105.738157,33.733863,A
0.933,105.738277,33.733875,A
0.943,105.738336,33.733880,A
0.953,105.738566,33.733897,A
0.963,105.738644,33.733898,A
0.973,105.738707,33.733901,A
0.983,105.738795,33.733903,A
0.993,105.738936,33.733905,A
1.003,105.738948,33.733906,A
1.013,105.739117,33.733910,A
1.023,105.739124,33.733911,A
1.033,105.739124,33.733911,A
1.043,105.739124,33.733911,A
1.053,105.739124,33.733911,A
1.063,105.739682,33.733956,A
1.073,105.739806,33.734008,A
1.083,105.739808,33.734009,A
1.093,105.739960,33.734063,A
1.103,105.740062,33.734069,A
1.113,105.740165,33.734060,A
1.123,105.740165,33.734060,A
1.133,105.740405,33.734039,A
1.143,105.740427,33.734037,A
1.153,105.740595,33.734022,A
1.163,105.740695,33.734017,A
1.173,105.740768,33.734018,A
1.183,105.740920,33.734038,A
1.193,105.740952,33.734042,A
1.203,105.741079,33.734069,A
1.213,105.741254,33.734113,A
1.223,105.741323,33.734131,A
1.233,105.741376,33.734144,A
1.243,105.741376,33.734144,A
1.253,105.741376,33.734144,A
1.263,105.741376,33.734144,A
1.273,105.741376,33.734144,A
1.283,105.741982,33.734178,A
1.293,105.742064,33.734182,A
1.303,105.742157,33.734182,A
1.313,105.742334,33.734162,A
1.323,105.742392,33.734156,A
1.333,105.742392,33.734156,A
1.343,105.742602,33.734133,A
1.353,105.742745,33.734115,A
1.363,105.742758,33.734113,A
1.373,105.742881,33.734097,A
1.383,105.742881,33.734097,A
1.393,105.743146,33.734064,A
1.403,105.743151,33.734063,A
1.413,105.743151,33.734063,A
1.423,105.743433,33.734058,A
1.433,105.743440,33.734058,A
1.443,105.743440,33.734058,A
1.453,105.743759,33.734105,A
1.463,105.743792,33.734110,A
1.473,105.743792,33.734110,A
1.483,105.743792,33.734110,A
1.493,105.743792,33.734110,A
1.503,105.743792,33.734110,A
1.513,105.743792,33.734110,A
1.523,105.744449,33.734234,A
1.533,105.744500,33.734243,A
1.543,105.744683,33.734263,A
1.553,105.744766,33.734273,A
1.563,105.744768,33.734273,A
1.573,105.744994,33.734304,A
1.583,105.745015,33.734307,A
1.593,105.745015,33.734307,A
1.603,105.745303,33.734369,A
1.613,105.745303,33.734369,A
1.623,105.745555,33.734430,A
1.633,105.745628,33.734443,A
1.643,105.745638,33.734445,A
1.653,105.745638,33.734445,A
1.663,105.745939,33.734441,A
1.673,105.745997,33.734440,A
1.683,105.746183,33.734410,A
1.693,105.746258,33.734394,A
1.703,105.746269,33.734392,A
1.713,105.746468,33.734343,A
1.723,105.746597,33.734311,A
1.733,105.746602,33.734310,A
1.743,105.746737,33.734280,A
1.753,105.746873,33.734253,A
1.763,105.746873,33.734253,A
1.773,105.747040,33.734218,A
1.783,105.747154,33.734192,A
1.793,105.747154,33.734192,A
1.803,105.747349,33.734143,A
1.813,105.747349,33.734143,A
1.823,105.747349,33.734143,A
1.833,105.747665,33.734054,A
1.843,105.747767,33.734023,A
1.853,105.747895,33.733981,A
1.863,105.747992,33.733947,A
1.873,105.748085,33.733912,A
1.883,105.748204,33.733863,A
1.893,105.748210,33.733861,A
1.903,105.748210,33.733861,A
1.913,105.748210,33.733861,A
1.923,105.748525,33.733692,A
1.933,105.748588,33.733658,A
1.943,105.748588,33.733658,A
1.953,105.748782,33.733561,A
1.963,105.748914,33.733507,A
1.973,105.748914,33.733507,A
1.983,105.749144,33.733425,A
1.993,105.749210,33.733404,A
2.003,105.749210,33.733404,A
2.013,105.749435,33.733335,A
2.023,105.749435,33.733335,A
2.033,105.749435,33.733335,A
2.043,105.749721,33.733205,A
2.053,105.749833,33.733149,A
2.063,105.749845,33.733143,A
2.073,105.750046,33.733045,A
2.083,105.750120,33.733004,A
2.093,105.750194,33.732958,A
2.103,105.750300,33.732878,A
2.113,105.750368,33.732815,A
2.123,105.750449,33.732727,A
2.133,105.750499,33.732670,A
2.143,105.750555,33.732601,A
2.153,105.750600,33.732534,A
2.163,105.750653,33.732447,A
2.173,105.750693,33.732369,A
2.183,105.750732,33.732281,A
2.193,105.750769,33.732197,A
2.203,105.750812,33.732103,A
2.213,105.750816,33.732095,A
2.223,105.750874,33.731933,A
2.233,105.750893,33.731873,A
2.243,105.750917,33.731781,A
2.253,105.750937,33.731692,A
2.263,105.750971,33.731580,A
2.273,105.750978,33.731555,A
2.283,105.750978,33.731555,A
2.293,105.751029,33.731392,A
2.303,105.751060,33.731287,A
2.313,105.751089,33.731185,A
2.323,105.751121,33.731081,A
2.333,105.751121,33.731080,A
2.343,105.751121,33.731080,A
2.353,105.751121,33.731080,A
2.363,105.751264,33.730756,A
2.373,105.751290,33.730701,A
2.383,105.751332,33.730617,A
2.393,105.751376,33.730521,A
2.403,105.751420,33.730429,A
2.413,105.751447,33.730372,A
2.423,105.751486,33.730285,A
2.433,105.751513,33.730222,A
2.443,105.751551,33.730126,A
2.453,105.751551,33.730126,A
2.463,105.751551,33.730126,A
2.473,105.751616,33.729862,A
2.483,105.751642,33.729746,A
2.493,105.751646,33.729733,A
2.503,105.751687,33.729555,A
2.513,105.751689,33.729546,A
2.523,105.751727,33.729374,A
2.533,105.751729,33.729363,A
2.543,105.751760,33.729206,A
2.553,105.751777,33.729137,A
2.563,105.751817,33.729025,A
2.573,105.751845,33.728961,A
2.583,105.751874,33.728903,A
2.593,105.751923,33.728815,A
2.603,105.751938,33.728790,A
2.613,105.752017,33.728674,A
2.623,105.752036,33.728647,A
2.633,105.752036,33.728647,A
2.643,105.752195,33.728413,A
2.653,105.752199,33.728407,A
2.663,105.752279,33.728282,A
2.673,105.752338,33.728190,A
2.683,105.752350,33.728170,A
2.693,105.752432,33.728026,A
